,area,rooms,bathroom,parking_spaces,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),totalBRL
31,32.0,1,1,0,515.0,1700.0,29.0,22.0,7.726212650507529
32,80.0,2,2,1,1208.0,2550.0,216.0,33.0,8.2960476427647
33,45.0,1,1,1,2450.0,2500.0,593.0,33.0,8.626406276389554
34,350.0,4,4,3,2100.0,4000.0,500.0,51.0,8.802672840312818
35,38.0,1,1,2,450.0,1750.0,0.0,26.0,7.708410667257367
36,30.0,1,1,0,460.0,1600.0,0.0,21.0,7.641084249174914
37,80.0,3,2,1,0.0,11000.0,425.0,181.0,9.359708203627006
38,70.0,2,1,0,0.0,1150.0,59.0,18.0,7.113142108707088
39,40.0,1,1,1,390.0,2990.0,0.0,44.0,8.138856750696325
40,300.0,4,6,4,3700.0,12000.0,1584.0,153.0,9.766579035268668
41,240.0,3,2,3,0.0,3500.0,292.0,53.0,8.254788926148725
42,200.0,4,2,1,850.0,2550.0,9.0,34.0,8.144388865547622
43,45.0,1,1,1,500.0,1631.0,192.0,12.0,7.756195343948118
44,360.0,4,5,0,4000.0,6410.0,2000.0,82.0,9.43276366396591
45,40.0,1,1,1,978.0,2829.0,0.0,33.0,8.253488028345904
46,100.0,3,1,0,700.0,1220.0,10.0,17.0,7.5745584842024805
47,42.0,1,1,2,190.0,1770.0,17.0,26.0,7.602900462204755
48,250.0,3,3,2,2200.0,1700.0,256.0,22.0,8.337827262447915
49,48.0,1,1,1,505.0,1600.0,59.0,21.0,7.689828668736484
50,90.0,3,3,1,1250.0,3800.0,147.0,49.0,8.565411763686711
51,45.0,1,2,1,856.0,3900.0,150.0,50.0,8.508555998020574
52,150.0,2,3,4,1700.0,4000.0,700.0,52.0,8.77230041793584
53,60.0,2,1,0,200.0,1445.0,0.0,19.0,7.417580402414544
54,31.0,1,1,0,370.0,2350.0,56.0,30.0,7.939871576361883
55,210.0,4,5,4,1650.0,9000.0,772.0,115.0,9.353661191420406
56,280.0,3,1,2,0.0,6000.0,113.0,91.0,8.733110697638708
57,93.0,2,3,2,663.0,5500.0,133.0,70.0,8.758883680017025
58,75.0,3,2,1,340.0,1800.0,109.0,27.0,7.7306140660637395
59,194.0,3,4,3,0.0,4000.0,70.0,61.0,8.326516830239528
60,41.0,1,1,1,523.0,4000.0,131.0,51.0,8.456593569287309
61,65.0,1,1,1,2000.0,5100.0,250.0,66.0,8.911529941736559
62,70.0,2,1,1,761.0,2150.0,67.0,28.0,8.008698182988528
63,278.0,4,5,2,4052.0,9000.0,1261.0,115.0,9.577133949436078
64,35.0,1,1,0,306.0,1521.0,21.0,20.0,7.533158807455563
65,300.0,4,4,3,2300.0,6000.0,417.0,77.0,9.081938657171658
66,61.0,2,1,1,459.0,1850.0,0.0,24.0,7.755338812846501
67,130.0,3,2,1,1660.0,1700.0,475.0,22.0,8.257904193465674
68,80.0,2,1,1,500.0,900.0,90.0,12.0,7.315218389752975
69,164.0,4,4,2,2159.0,5000.0,386.0,64.0,8.937218450855731
70,220.0,4,2,3,450.0,2422.0,125.0,33.0,8.016647877057803
71,45.0,1,1,0,0.0,1050.0,46.0,16.0,7.014814351275545
72,108.0,3,2,2,1290.0,5600.0,435.0,71.0,8.908829791587868
73,128.0,1,1,0,418.0,2100.0,182.0,28.0,7.911690520708339
74,60.0,1,1,0,450.0,1800.0,48.0,24.0,7.750614732770409
75,250.0,4,5,4,2050.0,9800.0,998.0,125.0,9.470471375340674
76,47.0,1,1,1,400.0,2200.0,0.0,33.0,7.876258882303226
77,170.0,4,3,4,744.0,2700.0,296.0,36.0,8.236685322712457
78,45.0,1,1,0,300.0,1240.0,0.0,16.0,7.350516171833998
79,42.0,1,1,1,686.0,3500.0,123.0,45.0,8.379079889286603
80,164.0,4,4,3,1840.0,6000.0,550.0,77.0,9.044049632254756
81,70.0,3,1,1,700.0,1020.0,200.0,13.0,7.56734567601324
82,100.0,4,3,1,600.0,2200.0,159.0,33.0,8.0040315078527
83,64.0,2,2,2,1300.0,4500.0,440.0,58.0,8.74814616962193
84,68.0,2,1,1,320.0,1200.0,27.0,16.0,7.355001921105257
85,75.0,2,2,2,620.0,2500.0,264.0,34.0,8.137103389639302
86,600.0,4,4,4,7400.0,8500.0,3368.0,108.0,9.872048483700748
87,63.0,2,2,0,590.0,1550.0,152.0,20.0,7.746300662231439
88,145.0,3,4,3,1200.0,6000.0,750.0,77.0,8.990690709916228
89,85.0,2,2,2,1500.0,2800.0,292.0,36.0,8.44009614103127
90,254.0,4,4,4,3366.0,9000.0,1800.0,115.0,9.566685261452934
91,350.0,4,4,4,1.0,9000.0,359.0,160.0,9.161255164285691
92,300.0,4,4,3,0.0,3500.0,584.0,53.0,8.327967858305488
93,296.0,4,3,2,0.0,13500.0,423.0,222.0,9.557540571952371
94,64.0,2,2,2,450.0,2800.0,30.0,36.0,8.106816038947052
95,133.0,3,2,0,813.0,2957.0,38.0,38.0,8.255048902752295
96,44.0,1,1,0,350.0,550.0,12.0,7.0,6.824373670043086
97,240.0,3,4,2,0.0,3000.0,250.0,46.0,8.10076824307173
98,70.0,3,2,1,490.0,2500.0,8.0,37.0,8.01829613851552
99,22.0,1,1,0,302.0,2050.0,45.0,26.0,7.793174347189205
100,50.0,1,1,1,350.0,950.0,50.0,14.0,7.21890970761906
101,67.0,3,2,2,600.0,2200.0,50.0,33.0,7.96693349840484
102,31.0,1,1,0,430.0,2300.0,0.0,30.0,7.923348211930154
103,90.0,2,1,1,850.0,3468.0,191.0,45.0,8.423980809694058
104,109.0,3,3,1,2000.0,3800.0,300.0,49.0,8.724207360800564
105,400.0,4,2,2,0.0,2500.0,74.0,41.0,7.86940171257709
106,300.0,4,5,4,0.0,14000.0,1167.0,211.0,9.64088826045181
107,284.0,4,3,3,2340.0,6000.0,483.0,77.0,9.093918908958932
108,70.0,2,1,1,360.0,2400.0,30.0,36.0,7.946971357693591
109,309.0,4,5,4,2661.0,6500.0,682.0,84.0,9.203114326884442
110,70.0,2,1,0,0.0,2100.0,134.0,32.0,7.726212650507529
111,360.0,3,4,1,2300.0,10000.0,584.0,127.0,9.473550432503476
112,30.0,1,1,1,886.0,1500.0,0.0,20.0,7.786136437783072
113,80.0,2,2,2,832.0,2200.0,171.0,28.0,8.080856419640986
114,133.0,4,4,3,1500.0,7000.0,800.0,94.0,9.147932911847565
115,38.0,1,1,1,1620.0,2800.0,279.0,36.0,8.462948176563842
116,73.0,2,2,1,1100.0,3500.0,100.0,45.0,8.465057436995709
117,155.0,3,4,2,1500.0,2000.0,150.0,26.0,8.209852481301272
118,63.0,2,2,1,357.0,3200.0,50.0,41.0,8.202208436436448
119,58.0,2,1,1,0.0,1400.0,0.0,18.0,7.257707677160043
120,48.0,1,1,0,377.0,3450.0,0.0,44.0,8.261526448396468
121,210.0,3,4,3,1700.0,2790.0,834.0,36.0,8.586905803827538
122,100.0,3,2,2,340.0,1600.0,183.0,22.0,7.671360923190644
123,94.0,3,2,2,1337.0,3570.0,140.0,46.0,8.535818655539403
124,94.0,3,3,2,1220.0,5010.0,395.0,64.0,8.808369153122275
125,76.0,3,1,1,1200.0,2500.0,267.0,32.0,8.294049640102028
126,192.0,3,3,2,2100.0,7800.0,634.0,99.0,9.271529540288606
127,217.0,3,4,3,2884.0,6500.0,0.0,83.0,9.155672970633875
128,68.0,2,1,1,610.0,1400.0,35.0,18.0,7.6324011266014535
129,110.0,3,2,2,1145.0,2400.0,247.0,31.0,8.249052274171293
130,95.0,2,2,1,660.0,1600.0,164.0,22.0,7.802618063442671
131,900.0,4,6,8,0.0,15000.0,4417.0,226.0,9.8853744971092
132,34.0,1,1,0,347.0,1200.0,45.0,16.0,7.3833681469923835
133,192.0,3,4,3,2000.0,8000.0,0.0,102.0,9.220389707829185
134,62.0,2,2,1,350.0,1800.0,75.0,27.0,7.720017940432244
135,180.0,3,3,4,0.0,3700.0,184.0,56.0,8.279189777195004
136,44.0,1,1,0,350.0,916.0,12.0,12.0,7.1631723908466425
137,100.0,2,1,1,250.0,1700.0,116.0,23.0,7.644919344958857
138,140.0,3,3,1,900.0,1370.0,100.0,18.0,7.77863014732581
139,170.0,3,3,3,1570.0,2800.0,648.0,36.0,8.528133131454572
140,100.0,3,2,2,0.0,1600.0,150.0,25.0,7.4821189235521155
141,75.0,3,2,2,652.0,1600.0,82.0,21.0,7.764720544771477
142,52.0,2,1,0,200.0,1200.0,43.0,16.0,7.286191714702382
143,999.0,5,7,8,0.0,14000.0,667.0,211.0,9.60784051043005
144,270.0,4,4,4,2200.0,7000.0,1500.0,89.0,9.286467732363734
145,50.0,2,1,1,160.0,930.0,60.0,13.0,7.059617628291383
146,200.0,3,3,2,650.0,2210.0,184.0,34.0,8.0323601479245
147,71.0,2,2,0,430.0,1920.0,100.0,25.0,7.814399633804487
148,500.0,5,4,6,0.0,13000.0,250.0,196.0,9.506808731708581
149,60.0,2,1,0,0.0,1080.0,94.0,17.0,7.083387847625295
150,110.0,2,1,0,1100.0,1300.0,84.0,17.0,7.824845691026856
151,210.0,3,3,4,0.0,3294.0,276.0,50.0,8.19450550976564
152,220.0,3,4,3,2021.0,6000.0,996.0,77.0,9.115480090952223
153,200.0,3,2,5,0.0,4000.0,204.0,66.0,8.359603270841466
154,130.0,3,4,3,2300.0,4250.0,502.0,54.0,8.868835492826895
155,65.0,2,2,2,1037.0,4000.0,245.0,51.0,8.58185670474196
156,96.0,3,2,2,804.0,3200.0,250.0,41.0,8.3654396361887
157,660.0,4,5,5,4800.0,20000.0,1750.0,254.0,10.196194479235656
158,107.0,3,2,0,1460.0,3200.0,270.0,42.0,8.511778558714738
159,105.0,3,2,0,740.0,2200.0,9.0,29.0,7.999342952713282
160,100.0,3,2,0,900.0,3290.0,109.0,43.0,8.376320632534823
161,287.0,3,4,4,0.0,9000.0,430.0,136.0,9.166074955678168
162,24.0,1,1,0,230.0,1180.0,9.0,15.0,7.268920128193722
163,22.0,1,1,0,0.0,976.0,0.0,15.0,6.899723107284872
164,70.0,1,1,1,0.0,2529.0,142.0,39.0,7.905072849498666
165,44.0,1,1,1,250.0,1500.0,17.0,22.0,7.489970898834801
166,150.0,3,2,2,0.0,2500.0,0.0,38.0,7.839525581704678
167,90.0,1,2,2,998.0,2900.0,220.0,37.0,8.332308352219117
168,200.0,4,4,2,3000.0,2800.0,830.0,36.0,8.80492526261806
169,320.0,8,4,0,450.0,10500.0,350.0,158.0,9.346705246496699
170,90.0,2,1,1,550.0,1700.0,110.0,25.0,7.777373602657861
171,240.0,4,4,3,2500.0,2144.0,834.0,28.0,8.613775289262481
172,154.0,4,3,3,1684.0,7000.0,1020.0,89.0,9.189525232262262
173,60.0,2,2,2,2340.0,3230.0,284.0,41.0,8.682029433869172
174,101.0,3,2,0,780.0,2380.0,91.0,31.0,8.096512917501594
175,140.0,3,4,2,0.0,3090.0,0.0,55.0,8.053887083618223
176,500.0,4,5,8,0.0,15000.0,1850.0,226.0,9.74572201363806
177,110.0,3,3,3,1195.0,2350.0,687.0,30.0,8.35772841676521
178,110.0,3,3,2,0.0,4800.0,50.0,73.0,8.501876487304344
179,90.0,2,2,2,200.0,2000.0,84.0,27.0,7.7458682297922685
180,384.0,4,6,4,3500.0,15000.0,344.0,191.0,9.85434982797458
181,57.0,2,1,1,570.0,1500.0,67.0,20.0,7.67693714581808
182,160.0,3,3,2,1650.0,1500.0,419.0,20.0,8.185907481482324
183,39.0,1,1,0,330.0,1250.0,19.0,16.0,7.38770923908104
184,78.0,1,2,1,0.0,2290.0,143.0,30.0,7.80954132465341
185,36.0,1,1,1,0.0,762.0,15.0,14.0,6.674561391814426
186,70.0,2,1,1,558.0,1200.0,0.0,16.0,7.4815557019095165
187,45.0,1,1,1,300.0,3200.0,0.0,43.0,8.173011311724972
188,200.0,3,4,3,3500.0,8500.0,1250.0,108.0,9.500095294588894
189,100.0,3,3,3,0.0,4300.0,120.0,65.0,8.408716715080153
190,42.0,1,1,1,0.0,5000.0,0.0,64.0,8.530109416682784
191,280.0,4,4,1,3000.0,8000.0,292.0,102.0,9.340578848899913
192,28.0,1,1,1,615.0,2800.0,42.0,36.0,8.158802490694002
193,30.0,1,1,0,296.0,1826.0,30.0,24.0,7.685703061234547
194,85.0,3,2,1,337.0,1500.0,88.0,20.0,7.57353126274595
195,83.0,1,1,1,500.0,1080.0,59.0,14.0,7.4109518755836366
196,85.0,3,2,2,550.0,3300.0,150.0,42.0,8.304742269640771
197,90.0,3,2,2,325.0,1600.0,105.0,22.0,7.627057417018934
198,50.0,2,1,0,0.0,900.0,100.0,12.0,6.920671504248683
199,50.0,1,1,0,600.0,2900.0,134.0,38.0,8.208764045819667
200,300.0,3,2,3,0.0,6700.0,539.0,110.0,8.902455592206882
201,39.0,1,1,0,350.0,850.0,27.0,13.0,7.123672785204607
202,750.0,4,4,6,0.0,15000.0,2084.0,226.0,9.75909741657673
203,60.0,2,1,0,222.0,1100.0,46.0,17.0,7.234177179749849
204,68.0,2,1,0,750.0,1250.0,9.0,17.0,7.614312146452
205,70.0,2,1,1,230.0,1250.0,50.0,16.0,7.344072850573066
206,90.0,2,2,1,900.0,6500.0,89.0,83.0,8.932344569113823
207,258.0,5,6,0,0.0,8700.0,670.0,133.0,9.159468041602427
208,200.0,2,2,6,0.0,4500.0,292.0,68.0,8.488999457045455
209,123.0,2,2,2,1800.0,2990.0,625.0,38.0,8.604104563405533
210,127.0,3,2,2,220.0,2150.0,67.0,33.0,7.81237820598861
211,180.0,4,2,2,0.0,1800.0,210.0,30.0,7.621195162809845
212,110.0,3,2,0,0.0,2900.0,384.0,44.0,8.110427237575024
213,70.0,2,2,1,585.0,1719.0,77.0,23.0,7.785305182539862
214,35.0,1,1,1,720.0,3000.0,130.0,39.0,8.266164436612492
215,219.0,3,2,2,0.0,2900.0,150.0,44.0,8.037543185118697
216,25.0,1,1,0,50.0,700.0,0.0,10.0,6.634633357861686
217,170.0,4,5,0,1200.0,7100.0,639.0,92.0,9.108529105829499
218,45.0,1,1,0,900.0,1570.0,98.0,21.0,7.859413154693583
219,420.0,4,4,2,0.0,7000.0,200.0,115.0,8.897819009510757
220,46.0,1,1,0,0.0,1040.0,48.0,16.0,7.007600613951853
221,145.0,3,3,2,1088.0,5800.0,250.0,74.0,8.883640232503673
222,59.0,2,2,1,190.0,1100.0,59.0,15.0,7.21890970761906
223,225.0,4,3,0,1850.0,7500.0,466.0,100.0,9.202005735186125
224,210.0,4,4,3,2270.0,4675.0,1110.0,60.0,9.001592700945706
225,76.0,1,1,0,209.0,1249.0,52.0,19.0,7.333023014386481
226,220.0,3,4,3,2500.0,5150.0,1250.0,66.0,9.101306450952048
227,109.0,3,2,2,1746.0,2500.0,134.0,32.0,8.392310009269547
228,95.0,2,1,1,646.0,1000.0,120.0,14.0,7.484930283289661
229,32.0,1,1,0,280.0,1500.0,50.0,20.0,7.523481312573497
230,480.0,4,6,5,6660.0,15000.0,3063.0,191.0,10.123064751970729
231,53.0,1,1,1,694.0,4390.0,200.0,56.0,8.58316818033977
232,40.0,1,1,0,0.0,780.0,17.0,12.0,6.697034247666484
233,50.0,1,1,1,500.0,3223.0,100.0,41.0,8.259716961021523
234,60.0,1,1,0,0.0,1300.0,255.0,20.0,7.362645270417825
235,64.0,2,2,2,450.0,1500.0,50.0,22.0,7.612336837167746
236,140.0,3,3,2,2280.0,12000.0,535.0,155.0,9.613870275449836
237,121.0,3,3,1,800.0,2040.0,334.0,26.0,8.071218539969863
238,43.0,1,1,1,498.0,2100.0,84.0,27.0,7.904703913873747
239,20.0,1,1,1,1700.0,1360.0,0.0,18.0,8.0323601479245
240,58.0,2,1,1,289.0,950.0,11.0,13.0,7.142036574706803
241,570.0,5,6,7,0.0,8330.0,873.0,137.0,9.14216859187285
242,88.0,2,1,1,980.0,2790.0,0.0,36.0,8.244596756382498
243,89.0,3,2,2,900.0,6000.0,184.0,77.0,8.876544550558378
244,47.0,1,1,1,400.0,2200.0,0.0,33.0,7.876258882303226
245,40.0,1,1,0,0.0,1100.0,50.0,17.0,7.0630481633881725
246,40.0,1,1,0,386.0,1950.0,91.0,26.0,7.805474625270857
247,60.0,1,2,1,400.0,750.0,80.0,10.0,7.123672785204607
248,25.0,1,1,0,257.0,1650.0,0.0,21.0,7.564757012905729
249,50.0,2,1,0,340.0,1130.0,30.0,17.0,7.325148957955575
250,90.0,3,1,0,145.0,1130.0,55.0,17.0,7.206377291472252
251,173.0,3,3,3,3000.0,2000.0,825.0,26.0,8.674538762140015
252,91.0,3,2,2,700.0,2250.0,175.0,29.0,8.056743774975313
253,90.0,3,2,2,1710.0,1200.0,109.0,16.0,8.01829613851552
254,530.0,5,6,4,8300.0,15000.0,5000.0,191.0,10.257343526911063
255,155.0,1,4,0,1117000.0,2790.0,64.0,38.0,13.928840136128022
256,40.0,1,1,0,0.0,1300.0,0.0,17.0,7.183870715062453
257,296.0,4,5,3,0.0,15000.0,0.0,191.0,9.628458426207663
258,87.0,3,2,1,850.0,1400.0,200.0,18.0,7.81156848934518
259,300.0,3,3,5,0.0,5000.0,584.0,76.0,8.64135583403666
260,136.0,3,3,3,1430.0,4206.0,364.0,54.0,8.708639655987193
261,52.0,2,1,0,0.0,1340.0,0.0,17.0,7.213768308118642
262,94.0,2,2,2,600.0,2900.0,230.0,43.0,8.235890725928495
263,300.0,4,5,3,3850.0,12750.0,750.0,165.0,9.771155440487087
264,100.0,3,3,1,850.0,3229.0,100.0,42.0,8.348064228408266
265,500.0,4,6,3,6466.0,7300.0,2536.0,110.0,9.705707120679628
266,240.0,3,4,3,3600.0,4950.0,1000.0,63.0,9.170975648453906
267,308.0,2,3,3,0.0,2000.0,171.0,33.0,7.6984827878809465
268,350.0,4,5,4,2700.0,4590.0,1334.0,59.0,9.069237530998182
269,75.0,2,2,0,570.0,1450.0,0.0,19.0,7.620705086838262
270,155.0,3,2,3,2600.0,11700.0,667.0,149.0,9.623839785112668
271,260.0,3,5,4,2227.0,6000.0,1468.0,77.0,9.187378760338836
272,80.0,2,2,1,0.0,1500.0,184.0,23.0,7.443078374348516
273,85.0,3,1,1,810.0,1998.0,87.0,26.0,7.980023592310645
274,120.0,2,2,2,1400.0,3500.0,375.0,45.0,8.579416534596369
275,100.0,2,2,1,0.0,1970.0,0.0,30.0,7.601402334583733
276,240.0,4,5,4,1869.0,3500.0,717.0,45.0,8.721276239991704
277,360.0,7,6,6,0.0,5270.0,245.0,80.0,8.629807335785372
278,42.0,1,1,0,0.0,1100.0,0.0,17.0,7.0192966537150445
279,33.0,1,1,1,600.0,2800.0,112.0,36.0,8.174421152646497
280,48.0,1,1,0,626.0,1020.0,53.0,14.0,7.446585099157725
281,36.0,1,1,0,350.0,1130.0,42.0,15.0,7.338238150065589
282,270.0,6,3,6,0.0,4500.0,417.0,68.0,8.514389264083503
283,75.0,2,1,1,670.0,1200.0,121.0,16.0,7.60489448081162
284,46.0,2,1,0,270.0,1600.0,0.0,21.0,7.545389749611823
285,350.0,3,3,3,0.0,10000.0,1292.0,151.0,9.344958673700944
286,131.0,3,3,1,1625.0,1750.0,121.0,26.0,8.167068178341237
287,90.0,3,2,1,920.0,1300.0,129.0,17.0,7.769378609513984
288,26.0,1,1,0,390.0,1650.0,120.0,22.0,7.688455356549944
289,44.0,1,1,0,400.0,1100.0,14.0,15.0,7.333023014386481
290,70.0,2,2,0,0.0,1880.0,0.0,29.0,7.554858521040676
291,40.0,1,1,0,0.0,900.0,0.0,15.0,6.82001636467413
292,320.0,4,2,4,0.0,3200.0,206.0,53.0,8.14902386805177
293,213.0,2,2,3,0.0,5150.0,0.0,78.0,8.56197533418813
294,80.0,2,1,0,0.0,1100.0,0.0,14.0,7.016609683894219
295,70.0,1,1,0,500.0,800.0,30.0,11.0,7.201916317531627
296,60.0,2,1,1,690.0,1500.0,25.0,20.0,7.71244383427499
297,270.0,4,4,4,4500.0,12850.0,1834.0,163.0,9.870499376709148
298,70.0,2,1,1,800.0,1300.0,44.0,17.0,7.6787889981991535
299,300.0,6,2,2,0.0,6000.0,242.0,107.0,8.756210091886738
300,220.0,4,5,3,2050.0,12000.0,750.0,153.0,9.612533466213927
301,64.0,2,2,2,450.0,1600.0,34.0,24.0,7.653969180478774
302,80.0,3,3,1,1100.0,1470.0,0.0,19.0,7.859413154693583
303,56.0,1,1,0,625.0,2500.0,81.0,32.0,8.08301991917133
304,161.0,4,3,2,1450.0,10000.0,467.0,127.0,9.39607277189222
305,35.0,1,1,0,350.0,1350.0,0.0,18.0,7.449498005382849
306,720.0,4,6,5,0.0,12750.0,2613.0,192.0,9.65252306301951
307,280.0,4,5,4,2500.0,3200.0,750.0,41.0,8.778325928634482
308,96.0,3,2,0,408.0,2100.0,84.0,31.0,7.8724551500639794
309,236.0,3,4,4,1600.0,11000.0,440.0,140.0,9.486531677712465
310,81.0,3,2,1,204.0,1510.0,0.0,20.0,7.45876269238096
311,62.0,2,1,1,580.0,1650.0,92.0,21.0,7.759614150696903
312,125.0,3,2,0,150.0,1200.0,69.0,16.0,7.269616749608169
313,37.0,1,1,1,890.0,4150.0,110.0,53.0,8.557182839632397
314,60.0,2,2,1,1680.0,4000.0,200.0,51.0,8.688116703257823
315,230.0,4,2,3,3600.0,5000.0,1551.0,64.0,9.232199706329077
316,210.0,4,5,2,3800.0,8500.0,0.0,108.0,9.426338455129521
317,450.0,4,3,8,0.0,14000.0,175.0,211.0,9.574358290170174
318,234.0,3,5,4,0.0,3680.0,400.0,56.0,8.327726166461412
319,135.0,4,3,2,868.0,2450.0,308.0,33.0,8.205218426395412
320,395.0,4,5,3,0.0,6000.0,122.0,91.0,8.734560089952993
321,92.0,2,2,1,450.0,1700.0,67.0,25.0,7.715569534520208
322,412.0,3,5,6,2000.0,3952.0,459.0,51.0,8.773848885262895
323,42.0,1,1,1,560.0,5300.0,100.0,68.0,8.704336438489406
324,33.0,1,1,0,385.0,3000.0,125.0,39.0,8.174702882469461
325,28.0,2,1,1,0.0,600.0,0.0,11.0,6.416732282512326
326,190.0,4,4,2,0.0,4450.0,223.0,67.0,8.464003362902119
327,165.0,4,3,3,2440.0,6300.0,1292.0,80.0,9.2213792190914
328,44.0,1,1,0,355.0,1200.0,20.0,18.0,7.374001859350161
329,60.0,2,1,1,603.0,1275.0,109.0,17.0,7.60339933974067
330,380.0,3,3,2,3580.0,11000.0,1084.0,140.0,9.6678285081515
331,73.0,2,1,0,375.0,830.0,120.0,11.0,7.198183577101943
332,19.0,1,1,0,620.0,1100.0,85.0,15.0,7.507141079727608
333,230.0,3,5,4,1800.0,7500.0,0.0,96.0,9.148145768383065
334,37.0,1,1,1,500.0,2500.0,0.0,37.0,8.018954683155718
335,124.0,3,2,3,1450.0,6600.0,300.0,84.0,9.040144994980068
336,115.0,3,2,1,1090.0,2680.0,114.0,35.0,8.273846932784508
337,600.0,3,3,4,0.0,5500.0,384.0,83.0,8.694167141883597
338,700.0,5,5,4,1380.0,15000.0,1667.0,229.0,9.813617548107086
339,35.0,1,1,0,100.0,815.0,17.0,12.0,6.851184927493743
340,15.0,1,1,0,0.0,1100.0,0.0,15.0,7.017506142941256
341,80.0,3,2,1,570.0,1450.0,125.0,19.0,7.68017564043659
342,48.0,1,1,0,200.0,700.0,38.0,11.0,6.856461984594587
343,96.0,3,2,1,922.0,1500.0,137.0,20.0,7.855544677915663
344,150.0,3,2,1,1843.0,6715.0,340.0,86.0,9.103311799217659
345,105.0,3,2,2,1681.0,3300.0,390.0,44.0,8.59711281459211
346,204.0,4,4,4,2701.0,10000.0,760.0,134.0,9.517898598432753
347,125.0,3,1,2,1317.0,2600.0,170.0,33.0,8.323851131338817
348,50.0,2,1,0,490.0,2300.0,50.0,30.0,7.962415680121064
349,250.0,3,4,3,0.0,3740.0,234.0,57.0,8.302017809751204
350,300.0,3,4,3,3000.0,2000.0,1250.0,26.0,8.744647438317532
351,80.0,2,1,1,0.0,1500.0,55.0,23.0,7.364547014255642
352,130.0,3,4,1,1200.0,1400.0,334.0,19.0,7.9909154630913255
353,120.0,2,3,0,904.0,3300.0,195.0,42.0,8.398860004454372
354,540.0,3,3,4,6200.0,15000.0,3500.0,191.0,10.122261571332395
355,23.0,1,1,0,392.0,2100.0,41.0,27.0,7.848153086199526
356,15.0,1,1,0,0.0,2500.0,0.0,32.0,7.837159650001675
357,72.0,1,2,2,900.0,4000.0,200.0,51.0,8.54714026778419
358,95.0,3,2,2,985.0,2300.0,122.0,30.0,8.142645185942795
359,330.0,4,5,4,2870.0,10000.0,1119.0,127.0,9.555418330069251
360,75.0,2,2,2,1600.0,6600.0,400.0,84.0,9.069352678675205
361,53.0,1,1,1,690.0,4398.0,200.0,56.0,8.583916823459145
362,178.0,3,2,1,1200.0,1900.0,180.0,25.0,8.10349427838097
363,150.0,3,2,0,0.0,4000.0,24.0,61.0,8.315321775377567
364,50.0,2,1,1,520.0,1200.0,30.0,16.0,7.4770384723196965
365,150.0,3,2,1,0.0,2500.0,59.0,38.0,7.862497197230545
366,25.0,1,1,0,286.0,984.0,11.0,15.0,7.167809184316444
367,210.0,3,4,4,3150.0,12000.0,1155.0,153.0,9.708749225727084
368,75.0,3,2,1,600.0,1500.0,75.0,20.0,7.694392802629421
369,200.0,2,4,3,1897.0,15000.0,827.0,200.0,9.793728488543389
