,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,medianhousevalue
156,6.8591,52,2485.0,313.0,953.0,327.0,37.81,-122.24,12.772525010724586
157,6.0302,52,1490.0,238.0,634.0,256.0,37.81,-122.24,12.568285725643538
158,7.508,52,2814.0,365.0,878.0,352.0,37.81,-122.23,12.761970100454297
159,2.7477,52,2093.0,550.0,918.0,483.0,37.81,-122.24,12.40410759774362
160,2.1944,52,888.0,168.0,360.0,175.0,37.8,-122.24,12.261985005589679
161,3.0149,52,2087.0,510.0,1197.0,488.0,37.8,-122.25,12.294088101596984
162,3.675,52,2513.0,502.0,1048.0,518.0,37.81,-122.24,12.505810504075185
163,3.225,46,3232.0,835.0,1373.0,747.0,37.81,-122.25,12.295917919903431
164,2.9345,42,4120.0,1065.0,1715.0,1015.0,37.8,-122.25,12.323860125621126
165,2.1429,43,2364.0,792.0,1359.0,722.0,37.8,-122.25,12.429220196836383
166,1.6121,41,1471.0,469.0,1062.0,413.0,37.8,-122.25,12.051761119434515
167,1.3929,29,2468.0,864.0,1335.0,773.0,37.8,-122.25,12.174587138384211
168,2.3173,27,1632.0,492.0,1171.0,429.0,37.79,-122.24,11.736077016252437
169,1.7772,45,1786.0,526.0,1475.0,460.0,37.79,-122.25,11.487617913343598
170,2.6458,50,629.0,188.0,742.0,196.0,37.79,-122.25,11.736077016252437
171,2.181,52,1339.0,391.0,1086.0,363.0,37.79,-122.25,11.840796531639839
172,2.2303,36,1678.0,606.0,1645.0,543.0,37.8,-122.25,11.667370387218226
173,1.6504,43,2344.0,647.0,1710.0,644.0,37.8,-122.25,11.930325731537252
174,2.2697,52,996.0,228.0,731.0,228.0,37.8,-122.24,11.751950239425476
175,2.1563,52,1591.0,373.0,1118.0,347.0,37.8,-122.24,11.76446986680519
176,2.1348,52,1586.0,398.0,1006.0,335.0,37.8,-122.24,11.853681370708943
177,2.6292,47,2046.0,588.0,1213.0,554.0,37.8,-122.24,12.115606215804869
178,2.3833,52,1192.0,289.0,772.0,257.0,37.8,-122.23,11.897514169490739
179,2.957,52,1803.0,420.0,1321.0,401.0,37.8,-122.24,11.718320437984499
180,2.5238,49,2838.0,749.0,1487.0,677.0,37.8,-122.24,12.039433474778324
181,1.9375,52,783.0,184.0,488.0,186.0,37.8,-122.23,11.748795687555171
182,1.9028,51,1590.0,414.0,949.0,392.0,37.8,-122.23,11.759011806144656
183,2.25,50,1746.0,480.0,1149.0,415.0,37.8,-122.23,11.724004532183379
184,2.3929,52,1252.0,299.0,844.0,280.0,37.8,-122.23,11.625369830810577
185,2.1917,43,5963.0,1344.0,4367.0,1231.0,37.79,-122.23,11.633380483255026
186,2.9357,52,1783.0,395.0,1659.0,412.0,37.79,-122.23,11.588969419043872
187,1.8854,30,999.0,264.0,1011.0,263.0,37.79,-122.23,11.83138646878959
188,2.1638,39,1469.0,431.0,1464.0,389.0,37.79,-122.24,11.566475710526321
189,2.125,47,1372.0,395.0,1237.0,303.0,37.79,-122.24,11.466891997618188
190,3.375,52,674.0,180.0,647.0,168.0,37.79,-122.24,11.662215780913316
191,2.2542,43,1626.0,376.0,1284.0,357.0,37.79,-122.24,11.628047184686986
192,2.1,51,175.0,43.0,228.0,55.0,37.79,-122.25,11.225256725762893
193,1.6,39,461.0,129.0,381.0,123.0,37.79,-122.25,11.630717389475995
194,3.625,52,902.0,237.0,846.0,227.0,37.79,-122.25,11.736077016252437
195,1.6929,20,2373.0,779.0,1659.0,676.0,37.8,-122.26,11.652696102959753
196,1.6471,52,391.0,128.0,520.0,138.0,37.77,-122.22,11.461642696843066
197,2.59,52,1137.0,301.0,866.0,259.0,37.77,-122.22,11.476271853988816
198,2.57,52,769.0,206.0,612.0,183.0,37.77,-122.23,11.184435286790631
199,2.6429,52,472.0,146.0,415.0,126.0,37.78,-122.23,11.174665631549477
200,3.0257,52,862.0,215.0,994.0,213.0,37.78,-122.23,11.299744620670225
201,1.4886,50,1920.0,530.0,1525.0,477.0,37.78,-122.22,11.766023856597407
202,1.9338,43,1420.0,472.0,1506.0,438.0,37.78,-122.23,11.630717389475995
203,1.4844,52,986.0,258.0,1008.0,255.0,37.78,-122.23,11.690242855114947
204,1.6009,44,2340.0,825.0,2813.0,751.0,37.78,-122.23,11.679295469550114
205,2.0375,48,1696.0,396.0,1481.0,343.0,37.79,-122.23,11.715874472198905
206,2.293,49,1175.0,217.0,859.0,219.0,37.79,-122.23,11.574029971623514
207,2.1494,37,2343.0,574.0,1608.0,523.0,37.79,-122.22,11.794345471549745
208,1.6198,30,610.0,145.0,425.0,140.0,37.79,-122.23,11.717505780625043
209,1.3281,40,930.0,199.0,564.0,184.0,37.79,-122.23,11.63780327310248
210,3.5156,44,1487.0,314.0,961.0,272.0,37.79,-122.22,11.603688960617083
211,3.9048,52,3424.0,690.0,2273.0,685.0,37.79,-122.22,12.011886987792716
212,3.0893,52,762.0,190.0,600.0,195.0,37.79,-122.21,11.736077016252437
213,2.6042,46,2366.0,575.0,1647.0,527.0,37.79,-122.22,11.733674150882164
214,2.5,49,1826.0,450.0,1201.0,424.0,37.79,-122.22,11.825551337974238
215,2.7969,38,3049.0,711.0,2167.0,659.0,37.79,-122.22,11.86147448281689
216,2.8321,29,1640.0,376.0,939.0,340.0,37.79,-122.2,11.918397239722838
217,2.9583,47,1543.0,307.0,859.0,292.0,37.79,-122.21,11.840796531639839
218,2.8365,34,2364.0,557.0,1517.0,516.0,37.79,-122.21,11.843674210764698
219,2.875,35,1745.0,409.0,1143.0,386.0,37.79,-122.21,11.876185678347824
220,3.0682,39,2003.0,500.0,1109.0,464.0,37.8,-122.21,11.960817678718287
221,3.0757,39,2018.0,447.0,1221.0,446.0,37.8,-122.21,11.92504173829169
222,4.9559,43,3045.0,499.0,1115.0,455.0,37.8,-122.2,12.51723073716405
223,4.7721,52,1547.0,293.0,706.0,268.0,37.8,-122.2,12.288117962028046
224,3.4861,52,3519.0,711.0,1883.0,706.0,37.8,-122.21,12.139403856983334
225,5.1184,41,2070.0,354.0,804.0,340.0,37.8,-122.2,12.386730318837426
226,4.0977,48,1321.0,263.0,506.0,252.0,37.8,-122.21,12.344533742172285
227,4.744,48,1694.0,259.0,610.0,238.0,37.8,-122.19,12.45800188477608
228,4.2727,46,1938.0,341.0,768.0,332.0,37.8,-122.19,12.41674272554783
229,2.9844,50,968.0,195.0,462.0,184.0,37.79,-122.19,12.100161978566867
230,4.1739,40,1060.0,256.0,667.0,235.0,37.79,-122.2,12.041203898548972
231,3.8487,46,2041.0,405.0,1059.0,399.0,37.8,-122.2,12.222442918443495
232,4.0114,52,1813.0,271.0,637.0,277.0,37.8,-122.19,12.481432864791325
233,4.6563,45,2718.0,451.0,1106.0,454.0,37.79,-122.19,12.35363452394233
234,2.9297,28,3144.0,761.0,1737.0,669.0,37.79,-122.19,11.852969885168331
235,2.3036,35,1802.0,459.0,1009.0,390.0,37.79,-122.2,11.744045122410057
236,2.6667,49,882.0,195.0,737.0,210.0,37.79,-122.2,11.711784520403112
237,2.619,44,1621.0,452.0,1354.0,491.0,37.79,-122.2,11.810812786275873
238,2.4167,45,2115.0,533.0,1530.0,474.0,37.79,-122.21,11.845109950883979
239,2.7788,45,2021.0,528.0,1410.0,480.0,37.79,-122.2,11.656168298529856
240,2.7352,46,2239.0,508.0,1390.0,569.0,37.78,-122.21,11.829930875050733
241,1.8472,52,1477.0,300.0,1065.0,269.0,37.78,-122.21,11.827743504053695
242,2.6583,52,1056.0,224.0,792.0,245.0,37.78,-122.21,11.867805799560465
243,3.0536,49,898.0,244.0,779.0,245.0,37.78,-122.21,11.83138646878959
244,2.3906,44,2968.0,710.0,2269.0,610.0,37.78,-122.22,11.623580937568695
245,1.7188,43,1702.0,460.0,1227.0,407.0,37.78,-122.21,11.750374207389497
246,2.625,47,881.0,248.0,753.0,241.0,37.78,-122.21,11.61999352194924
247,2.8015,40,494.0,114.0,547.0,135.0,37.77,-122.22,11.650955473631058
248,1.7276,50,1776.0,473.0,1807.0,440.0,37.78,-122.22,11.535674727063007
249,2.0801,44,1678.0,514.0,1700.0,495.0,37.78,-122.22,11.789806920177805
250,2.489,51,1637.0,463.0,1543.0,393.0,37.78,-122.22,11.687727151613768
251,1.7546,52,1420.0,314.0,1085.0,300.0,37.76,-122.21,11.297266335365645
252,4.0904,52,591.0,173.0,353.0,137.0,37.77,-122.21,11.297266335365645
253,2.6765,52,745.0,153.0,473.0,149.0,37.77,-122.21,11.394153190178114
254,2.4338,49,2272.0,498.0,1621.0,483.0,37.77,-122.2,11.536651757164861
255,2.3309,46,1234.0,375.0,1183.0,354.0,37.77,-122.21,11.499850357082506
256,2.2604,43,1017.0,328.0,836.0,277.0,37.77,-122.21,11.51293546492023
257,1.8039,42,932.0,254.0,900.0,263.0,37.77,-122.19,11.43281025466844
258,2.2562,39,2689.0,597.0,1888.0,537.0,37.77,-122.2,11.459535236710686
259,2.0562,41,1547.0,415.0,1024.0,341.0,37.77,-122.2,11.532737896139919
260,3.5398,52,2300.0,443.0,1225.0,423.0,37.78,-122.2,11.972885071473847
261,3.1167,39,1752.0,399.0,1071.0,376.0,37.78,-122.2,11.7085004721646
262,2.5401,50,1867.0,403.0,1128.0,378.0,37.78,-122.2,11.768350322738119
263,2.898,43,2430.0,502.0,1537.0,484.0,37.77,-122.2,11.7068543948059
264,2.3125,44,1729.0,414.0,1240.0,393.0,37.78,-122.21,11.540550359582348
265,2.875,52,1026.0,180.0,469.0,168.0,37.78,-122.19,11.982935344196433
266,3.3715,52,2170.0,428.0,1086.0,425.0,37.77,-122.19,11.87688084212164
267,3.5114,52,2329.0,445.0,1144.0,417.0,37.77,-122.19,11.926365356462313
268,4.3125,52,2492.0,415.0,1109.0,375.0,37.78,-122.19,12.010063844310778
269,3.22,52,2198.0,397.0,984.0,369.0,37.78,-122.19,11.960817678718287
270,3.875,33,142.0,31.0,575.0,47.0,37.78,-122.18,12.323860125621126
271,5.2328,49,1183.0,205.0,496.0,209.0,37.78,-122.19,12.067965083912192
272,3.7262,52,1070.0,193.0,555.0,190.0,37.78,-122.19,12.02515610124372
273,4.5893,45,1766.0,332.0,869.0,327.0,37.78,-122.2,12.004574385508691
274,5.2578,39,617.0,95.0,236.0,106.0,37.79,-122.18,12.441148720271016
275,7.0875,41,1411.0,233.0,626.0,214.0,37.79,-122.18,12.391310778311764
276,3.9712,46,2109.0,387.0,922.0,329.0,37.79,-122.18,12.245778817752209
277,2.9514,47,1229.0,243.0,582.0,256.0,37.79,-122.19,12.19653228062948
278,2.6667,50,954.0,217.0,546.0,201.0,37.79,-122.19,12.059895922372384
279,5.4446,37,1643.0,262.0,620.0,266.0,37.81,-122.18,12.726950575147725
280,6.2838,34,1355.0,195.0,442.0,195.0,37.8,-122.18,12.670438537558447
281,6.7527,23,2317.0,336.0,955.0,328.0,37.8,-122.18,12.563051043422098
282,7.0712,24,2459.0,317.0,916.0,324.0,37.77,-122.13,12.587931300962664
283,5.9849,22,12842.0,2048.0,4985.0,1967.0,37.79,-122.16,12.82396003700373
284,3.6875,42,1524.0,260.0,651.0,267.0,37.78,-122.17,11.965916446305247
285,2.875,30,3326.0,746.0,1704.0,703.0,37.77,-122.17,11.815257205114566
286,3.4205,43,1985.0,440.0,1085.0,407.0,37.78,-122.18,11.825551337974238
287,3.2984,50,1642.0,322.0,713.0,284.0,37.78,-122.18,11.9873007744816
288,3.875,49,893.0,177.0,468.0,181.0,37.78,-122.17,11.853681370708943
289,4.175,52,653.0,128.0,296.0,121.0,37.78,-122.17,11.87757552297847
290,4.375,47,1256.0,217.0,570.0,218.0,37.77,-122.16,11.994740316298905
291,4.7708,48,977.0,194.0,446.0,180.0,37.77,-122.16,11.959538914341756
292,3.5739,45,2324.0,397.0,968.0,384.0,37.77,-122.16,12.07824495582233
293,3.0958,39,1583.0,349.0,857.0,316.0,37.77,-122.16,11.889997957243736
294,3.3958,39,1612.0,342.0,912.0,322.0,37.77,-122.17,11.862884910339652
295,1.871,31,2424.0,533.0,1360.0,452.0,37.77,-122.17,11.415323661400773
296,1.9356,41,1594.0,367.0,1074.0,355.0,37.76,-122.17,11.41422052949775
297,2.1842,47,2118.0,413.0,965.0,382.0,37.76,-122.17,11.588969419043872
298,2.2917,37,1575.0,358.0,933.0,320.0,37.76,-122.18,11.580593459194764
299,2.4333,38,1764.0,397.0,987.0,354.0,37.76,-122.17,11.494771677590096
300,1.9479,50,1187.0,261.0,907.0,246.0,37.76,-122.18,11.402005077384885
301,3.9063,52,754.0,175.0,447.0,165.0,37.76,-122.18,11.448930795918299
302,1.8407,49,2308.0,452.0,1299.0,451.0,37.76,-122.18,11.47937902264955
303,2.0786,27,909.0,236.0,396.0,157.0,37.77,-122.18,11.487617913343598
304,2.8125,42,1180.0,257.0,877.0,268.0,37.77,-122.18,11.485564545613576
305,1.8913,43,2018.0,408.0,1111.0,367.0,37.76,-122.18,11.420821140914589
306,1.7056,49,1368.0,282.0,790.0,269.0,37.76,-122.19,11.423011698301428
307,2.2768,52,2744.0,547.0,1479.0,554.0,37.77,-122.18,11.474195031610165
308,3.2552,51,2107.0,471.0,1173.0,438.0,37.77,-122.18,11.696088334428081
309,2.0556,52,1748.0,362.0,1029.0,366.0,37.77,-122.18,11.51293546492023
310,2.4659,52,2024.0,391.0,1030.0,350.0,37.76,-122.19,11.458479838780507
311,1.75,47,1116.0,259.0,826.0,279.0,37.76,-122.2,11.358619773129229
312,2.0469,41,2036.0,510.0,1412.0,454.0,37.77,-122.19,11.399767965010177
313,2.7159,45,1852.0,393.0,1132.0,349.0,37.77,-122.19,11.52683823202353
314,1.2083,41,921.0,207.0,522.0,159.0,37.76,-122.19,11.19135563385109
315,1.925,45,995.0,238.0,630.0,237.0,37.76,-122.19,11.21318430646977
316,1.5809,36,606.0,132.0,531.0,133.0,37.75,-122.2,11.156264806643742
317,1.4097,37,2680.0,736.0,1925.0,667.0,37.76,-122.2,11.345701365855424
318,0.7683,38,1493.0,370.0,1144.0,351.0,37.76,-122.19,11.31204474745499
319,1.3194,19,2207.0,565.0,1481.0,520.0,37.75,-122.19,11.307142836927456
320,0.8012,28,856.0,189.0,435.0,162.0,37.75,-122.19,11.31204474745499
321,1.9479,26,1293.0,297.0,984.0,303.0,37.76,-122.19,11.359785940419789
