,carat,depth,table,x,y,z,price
29,0.23,60.9,57.0,3.96,3.99,2.42,5.8805329864007
30,0.23,60.0,57.0,4.0,4.03,2.41,5.998936561946683
31,0.23,59.8,57.0,4.04,4.06,2.42,5.998936561946683
32,0.23,60.7,59.0,3.97,4.01,2.42,5.998936561946683
33,0.23,59.5,58.0,4.01,4.06,2.4,5.998936561946683
34,0.23,61.9,58.0,3.92,3.96,2.44,5.998936561946683
35,0.23,58.2,59.0,4.06,4.08,2.37,5.998936561946683
36,0.23,64.1,59.0,3.83,3.85,2.46,5.998936561946683
37,0.31,64.0,54.0,4.29,4.31,2.75,5.998936561946683
38,0.26,60.8,59.0,4.13,4.16,2.52,6.0014148779611505
39,0.33,61.8,55.0,4.49,4.51,2.78,6.0014148779611505
40,0.33,61.2,56.0,4.49,4.5,2.75,6.0014148779611505
41,0.33,61.1,56.0,4.49,4.55,2.76,6.0014148779611505
42,0.26,65.2,56.0,3.99,4.02,2.61,6.0014148779611505
43,0.26,58.4,63.0,4.19,4.24,2.46,6.0014148779611505
44,0.32,63.1,56.0,4.34,4.37,2.75,6.0014148779611505
45,0.29,62.4,58.0,4.24,4.26,2.65,6.0014148779611505
46,0.32,61.8,55.0,4.35,4.42,2.71,6.0014148779611505
47,0.32,63.8,56.0,4.36,4.38,2.79,6.0014148779611505
48,0.25,63.3,60.0,4.0,4.03,2.54,6.003887067106539
49,0.29,60.7,60.0,4.33,4.37,2.64,6.003887067106539
50,0.24,60.9,61.0,4.02,4.03,2.45,6.003887067106539
51,0.23,61.9,54.0,3.93,3.95,2.44,6.003887067106539
52,0.32,60.9,55.0,4.45,4.48,2.72,6.003887067106539
53,0.22,61.6,58.0,3.93,3.89,2.41,6.003887067106539
54,0.22,59.3,62.0,3.91,3.88,2.31,6.003887067106539
55,0.3,61.0,59.0,4.3,4.33,2.63,6.0063531596017325
56,0.3,59.3,61.0,4.43,4.38,2.61,6.0063531596017325
57,0.3,62.6,57.0,4.25,4.28,2.67,6.0063531596017325
58,0.3,63.0,57.0,4.28,4.32,2.71,6.0063531596017325
59,0.3,63.2,55.0,4.25,4.29,2.7,6.0063531596017325
60,0.35,60.9,57.0,4.54,4.59,2.78,6.315358001522335
61,0.3,62.6,59.0,4.23,4.27,2.66,6.315358001522335
62,0.3,62.5,57.0,4.29,4.32,2.69,6.315358001522335
63,0.3,62.1,56.0,4.3,4.33,2.68,6.315358001522335
64,0.42,61.5,59.0,4.78,4.84,2.96,6.315358001522335
65,0.28,61.4,56.0,4.19,4.22,2.58,6.317164686747284
66,0.32,62.0,55.3,4.39,4.42,2.73,6.317164686747284
67,0.31,63.3,57.0,4.33,4.3,2.73,6.317164686747284
68,0.31,61.8,58.0,4.35,4.32,2.68,6.317164686747284
69,0.24,60.7,58.0,4.01,4.03,2.44,6.317164686747284
70,0.24,61.5,60.0,3.97,4.0,2.45,6.317164686747284
71,0.3,63.1,56.0,4.29,4.27,2.7,6.318968113746434
72,0.3,62.9,59.0,4.28,4.24,2.68,6.318968113746434
73,0.3,62.5,57.0,4.29,4.25,2.67,6.318968113746434
74,0.3,63.7,57.0,4.28,4.26,2.72,6.318968113746434
75,0.26,59.2,60.0,4.19,4.22,2.49,6.318968113746434
76,0.26,59.9,58.0,4.15,4.23,2.51,6.318968113746434
77,0.26,62.4,54.0,4.08,4.13,2.56,6.318968113746434
78,0.26,62.8,60.0,4.01,4.05,2.53,6.318968113746434
79,0.26,62.6,59.0,4.06,4.09,2.55,6.318968113746434
80,0.26,63.4,59.0,4.0,4.04,2.55,6.318968113746434
81,0.26,62.1,60.0,4.03,4.12,2.53,6.318968113746434
82,0.26,62.9,58.0,4.02,4.06,2.54,6.318968113746434
83,0.38,61.6,56.0,4.65,4.67,2.87,6.318968113746434
84,0.26,57.9,60.0,4.22,4.25,2.45,6.318968113746434
85,0.24,62.3,59.0,3.95,3.92,2.45,6.318968113746434
86,0.24,61.2,58.0,4.01,3.96,2.44,6.318968113746434
87,0.24,60.8,59.0,4.02,4.0,2.44,6.318968113746434
88,0.24,60.7,58.0,4.07,4.04,2.46,6.318968113746434
89,0.32,62.9,58.0,4.35,4.33,2.73,6.318968113746434
90,0.7,62.5,57.0,5.7,5.72,3.57,7.922261058353247
91,0.86,55.1,69.0,6.45,6.33,3.52,7.922261058353247
92,0.7,61.6,56.0,5.7,5.67,3.5,7.922261058353247
93,0.71,62.4,57.0,5.68,5.73,3.56,7.9229859587111955
94,0.78,63.8,56.0,5.81,5.85,3.72,7.9229859587111955
95,0.7,57.5,58.0,5.85,5.9,3.38,7.9229859587111955
96,0.7,59.4,62.0,5.71,5.76,3.4,7.9229859587111955
97,0.96,66.3,62.0,6.27,5.95,4.07,7.9229859587111955
98,0.73,61.6,59.0,5.77,5.78,3.56,7.923348211930154
99,0.8,61.5,58.0,5.97,5.93,3.66,7.923348211930154
100,0.75,63.2,56.0,5.8,5.75,3.65,7.923348211930154
101,0.75,59.9,54.0,6.0,5.96,3.58,7.923348211930154
102,0.74,61.6,55.0,5.8,5.85,3.59,7.923348211930154
103,0.75,61.7,58.0,5.85,5.79,3.59,7.923348211930154
104,0.8,62.9,56.0,5.94,5.87,3.72,7.923348211930154
105,0.75,62.2,55.0,5.87,5.8,3.63,7.923348211930154
106,0.8,63.0,59.0,5.9,5.81,3.69,7.923348211930154
107,0.74,62.3,55.0,5.77,5.81,3.61,7.923710333969238
108,0.81,58.8,57.0,6.14,6.11,3.6,7.923710333969238
109,0.59,62.0,55.0,5.38,5.43,3.35,7.923710333969238
110,0.8,61.4,57.0,5.96,6.0,3.67,7.923710333969238
111,0.74,62.2,56.0,5.8,5.84,3.62,7.923710333969238
112,0.9,63.0,58.0,6.16,6.12,3.87,7.923710333969238
113,0.74,62.2,59.0,5.73,5.82,3.59,7.924072324923417
114,0.73,62.6,56.0,5.77,5.74,3.6,7.924072324923417
115,0.73,62.7,53.0,5.8,5.75,3.62,7.924072324923417
116,0.8,61.7,58.0,5.98,5.94,3.68,7.924072324923417
117,0.71,62.4,54.0,5.72,5.76,3.58,7.924072324923417
118,0.7,60.7,58.0,5.73,5.76,3.49,7.924072324923417
119,0.8,59.9,59.0,6.01,6.07,3.62,7.924072324923417
120,0.71,62.3,56.0,5.73,5.69,3.56,7.924072324923417
121,0.74,62.3,54.0,5.8,5.83,3.62,7.924072324923417
122,0.7,61.7,63.0,5.64,5.61,3.47,7.924072324923417
123,0.7,64.5,57.0,5.57,5.53,3.58,7.924072324923417
124,0.7,65.3,55.0,5.63,5.58,3.66,7.924072324923417
125,0.7,61.6,60.0,5.65,5.59,3.46,7.924072324923417
126,0.91,61.4,56.0,6.09,5.97,3.7,7.92443418488756
127,0.61,59.6,57.0,5.56,5.58,3.32,7.92443418488756
128,0.91,64.4,57.0,6.11,6.09,3.93,7.92443418488756
129,0.91,65.7,60.0,6.03,5.99,3.95,7.92443418488756
130,0.77,62.0,56.0,5.89,5.86,3.64,7.92443418488756
131,0.71,63.6,58.0,5.64,5.68,3.6,7.9247959139564355
132,0.71,61.9,59.0,5.69,5.72,3.53,7.9247959139564355
133,0.7,62.6,60.0,5.62,5.65,3.53,7.925157512224703
134,0.77,61.3,60.0,5.88,5.9,3.61,7.925157512224703
135,0.63,60.9,60.0,5.52,5.55,3.37,7.925157512224703
136,0.71,60.1,62.0,5.74,5.77,3.46,7.925157512224703
137,0.71,61.8,59.0,5.69,5.73,3.53,7.925157512224703
138,0.76,61.2,57.0,5.88,5.91,3.61,7.925157512224703
139,0.64,61.9,56.0,5.53,5.56,3.43,7.925518979786926
140,0.71,60.9,57.0,5.78,5.75,3.51,7.925518979786926
141,0.71,59.8,56.0,5.89,5.81,3.5,7.925518979786926
142,0.7,61.8,55.0,5.68,5.72,3.52,7.92588031673756
143,0.7,60.0,57.0,5.8,5.87,3.5,7.92588031673756
144,0.71,61.6,55.0,5.74,5.76,3.54,7.92588031673756
145,0.7,62.1,64.0,5.62,5.65,3.5,7.92588031673756
146,0.71,63.3,59.0,5.52,5.61,3.52,7.926241523170962
147,0.73,60.2,56.0,5.83,5.87,3.52,7.926241523170962
148,0.7,61.1,58.0,5.66,5.73,3.48,7.926241523170962
149,0.7,60.9,57.0,5.73,5.76,3.5,7.926241523170962
150,0.71,61.7,59.0,5.71,5.67,3.51,7.926241523170962
151,0.74,61.3,56.0,5.82,5.86,3.57,7.926602599181384
152,0.71,62.5,60.0,5.65,5.61,3.52,7.9269635448629785
153,0.73,61.4,59.0,5.83,5.76,3.56,7.9269635448629785
154,0.76,62.9,57.0,5.79,5.81,3.65,7.9269635448629785
155,0.76,62.4,57.0,5.78,5.83,3.62,7.9269635448629785
156,0.71,60.7,56.0,5.77,5.8,3.51,7.9269635448629785
157,0.73,60.7,58.0,5.87,5.82,3.55,7.9269635448629785
158,0.73,61.5,58.0,5.79,5.75,3.55,7.9269635448629785
159,0.73,59.9,57.0,5.92,5.89,3.54,7.9269635448629785
160,0.73,59.2,59.0,5.92,5.87,3.49,7.9269635448629785
161,0.72,60.3,56.0,5.81,5.83,3.51,7.927324360309794
162,0.73,61.7,60.0,5.79,5.82,3.58,7.927324360309794
163,0.71,61.9,57.0,5.73,5.77,3.56,7.927324360309794
164,0.79,61.9,55.0,5.97,5.92,3.68,7.927324360309794
165,0.73,60.4,59.0,5.83,5.89,3.54,7.927685045615778
166,0.8,61.0,57.0,6.01,6.03,3.67,7.927685045615778
167,0.58,61.5,55.0,5.39,5.44,3.33,7.927685045615778
168,0.58,61.7,56.0,5.33,5.37,3.3,7.927685045615778
169,0.71,59.2,61.0,5.8,5.88,3.46,7.927685045615778
170,0.75,61.3,56.0,5.85,5.89,3.6,7.928045600874777
171,0.7,58.0,62.0,5.87,5.78,3.38,7.928045600874777
172,1.17,60.2,61.0,6.83,6.9,4.13,7.928406026180535
173,0.6,61.7,55.0,5.41,5.44,3.35,7.928406026180535
174,0.7,62.7,55.0,5.68,5.74,3.58,7.928406026180535
175,0.83,64.6,54.0,5.85,5.88,3.79,7.928406026180535
176,0.74,61.3,61.0,5.8,5.84,3.57,7.9287663216266955
177,0.72,63.7,56.4,5.62,5.69,3.61,7.9291264873067995
178,0.71,62.7,58.0,5.74,5.68,3.58,7.9291264873067995
179,0.71,62.2,57.0,5.79,5.62,3.55,7.9291264873067995
180,0.54,61.6,56.0,5.25,5.27,3.24,7.9291264873067995
181,0.54,61.5,57.0,5.24,5.26,3.23,7.9291264873067995
182,0.72,61.8,56.0,5.72,5.75,3.55,7.9291264873067995
183,0.72,60.7,56.0,5.79,5.82,3.53,7.9291264873067995
184,0.72,59.7,60.5,5.8,5.84,3.47,7.9291264873067995
185,0.71,60.5,56.0,5.8,5.76,3.5,7.9291264873067995
186,0.7,62.7,58.0,5.66,5.73,3.57,7.9294865233142895
187,0.71,62.1,58.0,5.67,5.7,3.53,7.9294865233142895
188,0.71,62.8,57.0,5.64,5.69,3.56,7.9294865233142895
189,0.71,63.8,58.0,5.61,5.64,3.59,7.9294865233142895
190,0.71,57.8,60.0,5.87,5.9,3.4,7.9294865233142895
191,0.7,62.1,55.0,5.7,5.67,3.53,7.9294865233142895
192,0.7,61.1,60.0,5.71,5.64,3.47,7.9294865233142895
193,0.7,60.0,59.0,5.79,5.75,3.46,7.9294865233142895
194,0.7,61.2,57.0,5.73,5.68,3.49,7.9294865233142895
195,0.7,62.7,59.0,5.67,5.63,3.54,7.9294865233142895
196,0.7,61.0,57.0,5.73,5.68,3.48,7.9294865233142895
197,0.7,61.0,58.0,5.78,5.72,3.51,7.9294865233142895
198,0.7,61.4,57.0,5.76,5.7,3.52,7.9294865233142895
199,0.72,61.8,61.0,5.82,5.71,3.56,7.9294865233142895
200,0.7,59.9,63.0,5.76,5.7,3.43,7.9294865233142895
201,0.7,61.3,58.0,5.71,5.68,3.49,7.9294865233142895
202,0.7,60.5,58.0,5.77,5.74,3.48,7.9294865233142895
203,0.7,64.1,59.0,5.64,5.59,3.6,7.9294865233142895
204,0.98,67.9,60.0,6.05,5.97,4.08,7.9294865233142895
205,0.78,62.4,58.0,5.83,5.8,3.63,7.9294865233142895
206,0.7,63.2,60.0,5.6,5.51,3.51,7.9294865233142895
207,0.52,61.3,55.0,5.19,5.22,3.19,7.929846429742503
208,0.73,60.8,56.0,5.82,5.84,3.55,7.930206206684683
209,0.74,61.7,56.0,5.84,5.8,3.59,7.930206206684683
210,0.7,63.6,57.0,5.61,5.65,3.58,7.930565854233965
211,0.77,61.2,58.0,5.9,5.93,3.62,7.930565854233965
212,0.71,62.1,54.0,5.68,5.72,3.54,7.930565854233965
213,0.74,61.5,55.0,5.81,5.86,3.59,7.930565854233965
214,0.7,61.4,59.0,5.64,5.73,3.49,7.930565854233965
215,1.01,61.8,60.0,6.39,6.36,3.94,7.930925372483388
216,0.77,62.2,56.0,5.83,5.88,3.64,7.930925372483388
217,0.78,61.2,56.0,5.92,5.99,3.64,7.930925372483388
218,0.72,60.6,63.0,5.83,5.76,3.51,7.931284761525891
219,0.53,57.5,64.0,5.34,5.37,3.08,7.931284761525891
220,0.76,61.3,56.0,5.9,5.94,3.63,7.931284761525891
221,0.7,57.2,62.0,5.81,5.77,3.31,7.931284761525891
222,0.7,62.9,60.0,5.62,5.54,3.51,7.931284761525891
223,0.75,63.1,58.0,5.78,5.73,3.63,7.931284761525891
224,0.72,60.8,57.0,5.76,5.75,3.5,7.931284761525891
225,0.72,62.7,59.0,5.73,5.69,3.58,7.931284761525891
226,0.7,62.8,60.0,5.68,5.66,3.56,7.931284761525891
227,0.84,55.1,67.0,6.39,6.2,3.47,7.931284761525891
228,0.75,61.4,59.0,5.88,5.85,3.6,7.931284761525891
229,0.52,62.2,55.0,5.14,5.18,3.21,7.931644021454311
230,0.72,63.0,54.0,5.69,5.73,3.6,7.932003152361385
231,0.79,63.7,56.0,5.85,5.92,3.75,7.932003152361385
232,0.72,63.6,58.0,5.66,5.69,3.61,7.933079771880415
233,0.51,62.0,57.0,5.11,5.15,3.18,7.933079771880415
234,0.64,61.5,56.0,5.54,5.55,3.41,7.933079771880415
235,0.7,60.5,60.0,5.74,5.77,3.48,7.933438387627489
236,0.83,61.1,60.0,6.07,6.1,3.72,7.933438387627489
237,0.76,61.8,56.0,5.85,5.87,3.62,7.933438387627489
238,0.71,63.3,56.0,5.64,5.68,3.58,7.933438387627489
239,0.77,59.4,64.0,5.97,5.92,3.53,7.933438387627489
240,0.71,62.5,55.0,5.71,5.65,3.55,7.933438387627489
241,1.01,64.5,58.0,6.29,6.21,4.03,7.933438387627489
242,1.01,62.7,59.0,6.31,6.22,3.93,7.933438387627489
243,0.77,64.2,52.0,5.81,5.77,3.72,7.933796874815411
244,0.76,63.7,54.0,5.76,5.85,3.7,7.933796874815411
245,0.76,60.4,58.0,5.92,5.94,3.58,7.933796874815411
246,0.76,61.8,58.0,5.82,5.86,3.61,7.933796874815411
247,1.05,63.2,56.0,6.49,6.45,4.09,7.933796874815411
248,0.81,61.6,56.0,5.97,6.01,3.69,7.933796874815411
249,0.7,61.6,56.0,5.72,5.75,3.53,7.933796874815411
250,0.55,60.9,57.0,5.28,5.3,3.22,7.933796874815411
251,0.81,61.0,61.0,5.94,5.99,3.64,7.933796874815411
252,0.63,62.1,57.0,5.48,5.41,3.38,7.933796874815411
253,0.63,60.9,60.0,5.55,5.52,3.37,7.933796874815411
254,0.77,61.3,60.0,5.9,5.88,3.61,7.933796874815411
255,1.05,65.8,59.0,6.41,6.27,4.18,7.933796874815411
256,0.64,61.3,56.0,5.54,5.58,3.41,7.934155233536322
257,0.76,58.8,59.0,6.0,5.94,3.51,7.934155233536322
258,0.83,62.3,55.0,6.02,6.05,3.76,7.934155233536322
259,0.71,60.1,62.0,5.77,5.74,3.46,7.934155233536322
260,0.71,61.8,59.0,5.73,5.69,3.53,7.934155233536322
261,0.87,63.6,55.8,6.07,6.1,3.87,7.934513463882263
262,0.73,62.2,56.0,5.74,5.78,3.58,7.934513463882263
263,0.71,59.2,59.0,5.83,5.86,3.46,7.934871565945177
264,0.71,61.8,59.0,5.7,5.75,3.54,7.934871565945177
265,0.71,61.3,55.0,5.72,5.77,3.52,7.934871565945177
266,0.7,62.1,60.0,5.71,5.65,3.53,7.934871565945177
267,0.7,60.7,60.0,5.78,5.75,3.5,7.934871565945177
268,0.76,59.6,57.0,5.91,5.86,3.51,7.934871565945177
269,0.7,62.2,56.0,5.73,5.68,3.55,7.934871565945177
270,0.79,60.6,57.0,5.98,6.06,3.65,7.935229539816907
271,0.7,62.9,57.0,5.66,5.69,3.57,7.935229539816907
272,0.7,64.1,55.0,5.6,5.66,3.61,7.935229539816907
273,0.76,61.3,56.0,5.87,5.91,3.61,7.935229539816907
274,0.73,62.7,55.0,5.72,5.76,3.6,7.935229539816907
275,0.79,63.2,56.0,5.91,5.86,3.72,7.9355873855892
276,0.71,60.7,56.0,5.81,5.82,3.53,7.935945103353701
277,0.81,61.9,60.0,5.91,5.86,3.64,7.935945103353701
278,0.81,62.6,55.0,5.92,5.96,3.72,7.935945103353701
279,0.72,60.7,60.0,5.74,5.72,3.48,7.935945103353701
280,0.72,62.0,60.0,5.73,5.69,3.54,7.935945103353701
281,0.72,63.0,57.0,5.72,5.7,3.6,7.935945103353701
282,0.81,58.0,59.0,6.17,6.13,3.57,7.935945103353701
283,0.72,62.9,57.0,5.73,5.65,3.58,7.935945103353701
284,1.0,58.2,60.0,6.61,6.55,3.83,7.935945103353701
285,0.73,63.2,58.0,5.7,5.76,3.62,7.936302693201959
286,0.81,61.3,59.0,5.94,6.01,3.66,7.936660155225426
287,0.81,60.3,60.0,6.07,6.1,3.67,7.936660155225426
288,0.71,62.7,60.0,5.67,5.71,3.57,7.936660155225426
289,0.71,61.3,58.0,5.73,5.75,3.52,7.936660155225426
290,0.71,61.6,60.0,5.74,5.69,3.52,7.936660155225426
291,0.57,61.9,55.0,5.34,5.35,3.31,7.936660155225426
292,0.51,61.7,56.0,5.12,5.16,3.17,7.936660155225426
293,0.72,61.9,58.0,5.72,5.75,3.55,7.936660155225426
294,0.74,61.8,58.0,5.77,5.81,3.58,7.936660155225426
295,0.74,61.6,56.0,5.81,5.82,3.58,7.936660155225426
296,0.7,58.8,66.0,5.81,5.9,3.44,7.936660155225426
297,0.8,61.0,57.0,6.03,6.01,3.67,7.936660155225426
298,1.01,67.4,60.0,6.19,6.05,4.13,7.936660155225426
299,0.8,63.4,60.0,5.92,5.82,3.72,7.936660155225426
300,0.77,61.5,59.0,5.87,5.91,3.62,7.937017489515454
301,0.83,58.0,62.0,6.19,6.25,3.61,7.937374696163295
302,0.82,62.4,54.0,5.97,6.02,3.74,7.937374696163295
303,0.78,61.9,57.0,5.91,5.86,3.64,7.937374696163295
304,0.6,61.6,56.0,5.43,5.46,3.35,7.937731775260109
305,0.9,62.2,59.0,6.07,6.11,3.79,7.937731775260109
306,0.7,62.2,58.0,5.6,5.66,3.5,7.937731775260109
307,0.9,61.3,56.0,6.17,6.23,3.8,7.937731775260109
308,0.83,62.3,57.0,5.99,6.08,3.76,7.937731775260109
309,0.83,61.8,57.0,6.03,6.07,3.74,7.937731775260109
310,0.83,62.5,59.0,5.95,6.02,3.74,7.937731775260109
311,0.74,62.9,60.0,5.74,5.68,3.59,7.937731775260109
312,0.79,61.8,59.0,5.92,5.95,3.67,7.937731775260109
313,0.61,62.3,56.0,5.43,5.45,3.39,7.937731775260109
314,0.76,59.0,70.0,5.89,5.8,3.46,7.937731775260109
315,0.96,60.7,55.0,6.37,6.41,3.88,7.938088726896952
316,0.73,62.5,55.0,5.8,5.76,3.61,7.938088726896952
317,0.73,62.7,58.0,5.76,5.7,3.59,7.938088726896952
318,0.75,60.4,57.0,5.93,5.96,3.59,7.938088726896952
319,0.71,62.1,58.0,5.7,5.67,3.53,7.938088726896952
320,0.71,57.8,60.0,5.9,5.87,3.4,7.938088726896952
321,0.71,63.8,58.0,5.64,5.61,3.59,7.938088726896952
322,0.71,62.8,57.0,5.69,5.64,3.56,7.938088726896952
323,1.04,62.2,58.0,6.46,6.41,4.0,7.938088726896952
324,1.0,62.3,58.0,6.45,6.34,3.98,7.938088726896952
325,0.87,59.9,58.0,6.19,6.23,3.72,7.938445551164788
326,0.53,61.9,54.0,5.22,5.25,3.24,7.938445551164788
327,0.72,63.0,55.0,5.79,5.61,3.59,7.938445551164788
328,0.72,62.4,58.0,5.83,5.7,3.6,7.938445551164788
329,0.7,62.9,58.0,5.63,5.65,3.55,7.938802248154481
330,0.74,63.5,56.0,5.74,5.79,3.66,7.938802248154481
331,0.71,61.3,56.0,5.75,5.71,3.51,7.938802248154481
332,0.73,60.6,54.0,5.84,5.89,3.55,7.938802248154481
333,0.7,65.1,58.0,5.56,5.59,3.63,7.938802248154481
334,0.71,62.6,58.0,5.7,5.67,3.56,7.938802248154481
335,0.71,58.0,62.0,5.85,5.81,3.38,7.938802248154481
336,0.71,62.4,61.0,5.7,5.65,3.54,7.938802248154481
337,0.77,61.3,57.0,5.93,5.88,3.62,7.938802248154481
338,0.71,59.9,60.0,5.81,5.77,3.47,7.938802248154481
339,0.78,60.8,58.0,6.03,5.95,3.64,7.938802248154481
340,0.71,63.5,55.0,5.66,5.64,3.59,7.938802248154481
341,0.91,62.2,57.0,6.21,6.15,3.85,7.938802248154481
342,0.71,63.8,58.0,5.62,5.66,3.6,7.9391588179567965
343,0.71,64.0,57.0,5.66,5.68,3.63,7.9391588179567965
344,0.8,62.5,56.0,5.88,5.96,3.7,7.9391588179567965
345,0.7,62.3,58.0,5.69,5.73,3.56,7.9391588179567965
346,0.72,61.7,57.0,5.74,5.77,3.55,7.9391588179567965
347,0.72,62.2,58.0,5.75,5.7,3.56,7.9391588179567965
348,0.82,61.5,56.0,6.01,6.08,3.72,7.9391588179567965
349,0.7,61.0,59.0,5.68,5.7,3.47,7.9391588179567965
350,0.72,62.2,56.0,5.74,5.77,3.58,7.9391588179567965
351,0.72,61.5,54.0,5.77,5.8,3.56,7.9391588179567965
352,0.9,67.3,59.0,5.93,5.84,3.96,7.9391588179567965
353,0.74,61.7,58.0,5.85,5.78,3.59,7.939515260662406
354,0.74,61.9,56.0,5.8,5.77,3.58,7.939515260662406
355,0.73,61.8,58.0,5.77,5.81,3.58,7.939515260662406
356,0.57,58.7,66.0,5.34,5.43,3.16,7.939515260662406
357,0.73,62.5,57.0,5.75,5.7,3.58,7.939515260662406
358,0.72,62.8,56.0,5.74,5.7,3.59,7.939515260662406
359,0.74,61.1,68.0,5.82,5.75,3.53,7.939515260662406
360,0.82,64.0,57.0,5.92,5.89,3.78,7.939515260662406
361,0.81,62.5,60.0,5.89,5.94,3.69,7.939871576361883
362,0.75,60.6,58.0,5.85,5.9,3.56,7.939871576361883
363,0.7,61.6,55.0,5.72,5.74,3.53,7.939871576361883
364,0.71,62.2,58.0,5.66,5.72,3.54,7.940227765145702
365,0.71,60.0,57.0,5.84,5.9,3.52,7.940227765145702
366,0.93,61.9,57.0,6.21,6.19,3.84,7.940227765145702
367,0.8,62.8,57.0,5.87,5.91,3.7,7.940583827104244
368,0.7,62.0,57.0,5.64,5.71,3.52,7.940583827104244
369,1.0,66.4,59.0,6.16,6.09,4.07,7.940583827104244
370,0.75,63.4,56.0,5.78,5.74,3.65,7.940583827104244
371,0.58,60.9,56.0,5.41,5.43,3.3,7.940583827104244
372,0.73,63.1,57.0,5.74,5.7,3.61,7.940583827104244
373,0.81,63.1,59.0,5.85,5.79,3.67,7.940939762327791
374,0.81,59.2,57.0,6.15,6.05,3.61,7.940939762327791
375,0.71,60.7,54.0,5.84,5.8,3.53,7.940939762327791
376,1.2,64.6,56.0,6.73,6.66,4.33,7.940939762327791
377,0.7,61.8,56.0,5.63,5.7,3.5,7.941295570906532
378,0.7,59.9,60.0,5.77,5.84,3.48,7.941295570906532
379,0.74,61.7,55.0,5.81,5.85,3.6,7.941295570906532
380,0.7,62.8,61.0,5.57,5.61,3.51,7.941295570906532
381,0.8,62.7,57.0,5.84,5.93,3.69,7.941295570906532
382,0.75,63.4,58.0,5.72,5.76,3.64,7.941651252930556
383,0.83,63.5,54.0,5.98,5.95,3.79,7.941651252930556
384,1.0,65.7,59.0,6.14,6.07,4.01,7.941651252930556
385,0.99,68.1,56.0,6.21,6.06,4.18,7.941651252930556
386,0.7,63.0,60.0,5.57,5.64,3.53,7.9420068084898565
387,0.7,59.5,58.0,5.75,5.85,3.45,7.9420068084898565
388,0.7,63.5,59.0,5.49,5.53,3.5,7.9420068084898565
389,0.7,61.7,58.0,5.63,5.69,3.49,7.9420068084898565
390,0.32,62.7,58.0,4.37,4.34,2.73,6.318968113746434
391,0.32,62.8,58.0,4.39,4.34,2.74,6.318968113746434
392,0.32,62.4,57.0,4.37,4.35,2.72,6.318968113746434
393,0.32,61.0,59.0,4.39,4.36,2.67,6.318968113746434
394,0.32,63.1,56.0,4.39,4.36,2.76,6.318968113746434
395,0.32,60.7,57.0,4.47,4.42,2.7,6.318968113746434
396,0.3,60.9,59.0,4.31,4.29,2.62,6.318968113746434
397,0.3,60.1,55.0,4.41,4.38,2.64,6.318968113746434
398,0.3,62.9,58.0,4.28,4.24,2.68,6.318968113746434
399,0.3,63.3,56.0,4.29,4.27,2.71,6.318968113746434
400,0.3,63.8,55.0,4.26,4.2,2.7,6.318968113746434
401,0.3,62.9,57.0,4.27,4.22,2.67,6.318968113746434
402,0.3,63.4,60.0,4.25,4.23,2.69,6.318968113746434
403,0.32,63.9,55.0,4.36,4.34,2.78,6.318968113746434
404,0.33,61.4,56.0,4.85,4.79,2.95,6.318968113746434
405,0.29,61.9,55.0,4.28,4.33,2.66,6.320768294250582
406,0.29,62.4,55.0,4.2,4.25,2.63,6.320768294250582
407,0.31,61.8,58.0,4.32,4.35,2.68,6.320768294250582
