,f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,foo
77,16,135,76,71,94,2,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
78,22,115,82,71,94,0,0,0,6,3,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0
79,61,88,89,72,94,0,0,0,0,44,10,0,0,0,0,18,1,0,0,0,0,0,1,0,0,0,100
80,104,114,80,71,94,0,5,4,0,48,31,19,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0
81,87,119,96,73,102,0,0,55,24,0,0,0,0,0,54,4,0,0,0,0,0,0,0,0,4,1,20
82,60,78,128,82,94,0,0,1,1,45,2,1,0,0,0,0,0,19,29,0,0,0,0,0,0,0,0
83,87,109,111,71,94,47,32,0,0,0,0,0,0,0,12,46,2,0,0,0,0,0,0,0,0,0,0
84,132,77,76,71,94,33,32,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,131,77,76,71,94,0,84,41,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,23,77,76,98,130,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
87,132,77,76,72,95,2,32,70,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,152,98,76,73,95,55,42,28,0,0,1,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
89,76,77,76,71,94,0,3,0,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
90,114,81,76,71,94,0,1,37,9,47,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,145,77,76,71,94,50,12,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,54,91,104,98,94,2,1,0,0,1,50,4,0,0,0,0,0,0,8,32,0,0,0,0,0,0,30
93,99,77,76,71,94,5,42,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,38,113,79,72,94,0,0,1,2,0,0,33,28,0,0,0,0,1,2,0,0,0,0,0,0,0,0
95,136,77,76,71,94,0,71,17,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,87,108,109,71,94,24,55,0,0,0,0,0,0,0,12,46,0,0,0,0,0,0,0,0,0,0,0
97,73,77,129,74,94,0,12,50,0,0,2,1,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0
98,14,137,79,71,94,0,0,0,0,0,0,0,2,54,8,0,0,0,0,0,0,0,0,0,0,0,0
99,74,77,76,71,94,0,50,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
100,104,90,76,71,94,1,2,0,32,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,43,105,78,75,94,0,0,0,0,0,5,56,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
102,60,94,78,71,94,0,0,0,0,8,54,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,60
103,118,126,76,71,94,56,6,0,0,0,40,38,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0
104,74,77,91,153,94,0,0,12,51,2,0,0,0,0,0,0,0,0,0,0,46,21,0,0,0,0,0
105,50,141,76,71,94,0,0,0,0,0,11,50,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0
106,62,77,76,71,94,9,37,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
107,60,116,76,71,94,28,18,0,0,0,0,0,15,29,0,0,0,0,0,0,0,0,0,0,0,0,40
108,33,77,110,91,94,12,8,0,0,0,0,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,0
109,77,77,80,73,94,0,1,5,25,37,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,100
110,29,153,79,71,94,0,0,1,0,0,0,7,48,34,5,2,0,0,0,0,0,0,0,0,0,0,0
111,118,77,76,71,94,37,9,0,50,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,71,77,77,74,94,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,100
113,84,95,76,71,94,0,23,23,1,2,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
114,108,77,76,71,94,9,0,32,51,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,51,124,96,71,94,0,0,0,0,24,21,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0
116,85,123,76,71,94,2,0,0,0,0,55,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,76,78,76,71,94,5,19,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100
118,112,81,81,74,94,0,42,5,1,44,20,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
119,74,77,76,71,94,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
120,71,77,85,139,100,0,0,0,19,43,0,0,0,0,0,0,0,0,0,0,28,16,13,0,0,0,0
121,62,79,76,71,94,0,0,9,40,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100
122,94,116,76,71,94,0,0,0,3,2,83,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,105,101,83,72,94,0,44,19,0,0,21,40,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
124,99,94,76,71,94,0,3,0,50,12,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
125,18,77,125,75,94,1,0,0,1,2,1,0,0,0,0,0,0,29,12,0,0,0,0,0,0,0,0
126,67,77,82,73,94,0,0,37,14,4,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,100
127,59,77,143,96,94,0,0,2,38,9,0,0,0,0,0,0,0,3,67,0,0,0,0,0,0,0,0
128,27,111,88,126,94,0,0,0,4,1,0,0,36,9,0,0,0,0,0,0,36,10,0,0,0,0,0
129,107,90,76,71,94,0,0,0,25,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,26,122,76,123,100,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,26,13,0,0,0,0
131,91,83,77,72,94,6,15,7,0,38,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
132,71,123,90,71,94,0,0,0,25,37,0,0,0,14,45,0,0,0,0,0,0,0,0,0,0,0,0
133,90,91,76,71,94,0,0,21,28,2,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
134,117,79,76,71,94,0,59,49,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,97,77,76,76,97,40,40,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
136,136,77,76,71,94,0,42,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,117,77,76,71,94,0,50,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,59,79,76,81,113,23,23,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,7,0,0
139,29,115,76,71,94,0,0,0,7,5,0,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0
140,63,91,76,71,94,0,0,0,0,24,39,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,100
141,65,78,82,71,94,0,8,1,46,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,100
142,96,96,90,82,94,0,32,14,0,0,45,16,0,0,0,0,0,0,7,11,0,0,0,0,0,0,30
143,93,77,76,71,94,1,20,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,56,114,77,71,94,0,0,0,0,0,24,55,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
145,36,77,76,91,138,0,1,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0
146,48,106,83,79,97,2,1,0,3,0,3,58,0,0,0,0,1,5,0,0,0,0,7,0,0,0,0
147,25,117,76,71,94,1,2,4,3,0,0,0,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0
148,52,92,76,71,94,0,9,2,1,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
149,115,78,78,72,94,0,28,68,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
150,39,111,78,72,94,0,0,0,2,3,0,38,14,0,6,0,0,0,0,0,0,0,1,0,0,0,0
151,173,99,77,71,94,79,0,6,56,7,2,43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
152,53,84,76,71,94,1,1,0,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
153,83,77,76,108,120,4,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,1,0,0
154,77,77,77,72,94,50,12,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80
155,73,105,76,71,94,0,0,2,1,44,2,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,132,79,76,71,94,2,1,0,62,62,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
157,78,98,76,71,94,0,0,0,0,42,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
158,40,105,76,80,96,0,0,3,7,3,1,19,26,0,0,0,0,0,0,0,0,3,5,0,0,0,0
159,95,99,76,71,94,14,32,0,3,0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
160,77,78,76,72,96,0,1,58,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
161,81,112,76,71,94,0,0,0,2,61,2,0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0
162,62,80,88,87,94,0,28,18,1,2,0,6,1,0,0,0,1,1,0,11,7,0,0,0,0,0,100
163,57,77,119,82,94,1,0,5,41,0,0,0,0,0,0,0,0,11,30,0,0,0,0,0,0,0,0
164,102,111,78,71,94,5,42,0,0,2,32,45,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
165,62,151,77,71,94,0,0,0,28,21,4,0,0,72,3,0,0,0,0,0,0,0,0,0,0,0,0
166,79,99,76,71,94,5,42,0,0,0,5,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100
167,84,78,80,71,94,2,1,62,8,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,70
168,18,91,120,73,95,3,0,0,1,1,0,0,0,0,0,9,40,0,0,0,0,0,1,2,0,0,0
169,74,77,80,74,94,1,1,44,19,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,100
170,74,79,79,126,94,19,44,2,0,0,0,0,2,1,0,0,0,0,0,0,8,31,0,0,0,0,0
171,13,119,100,72,95,0,0,0,0,0,0,0,0,0,51,8,2,0,0,0,0,0,0,1,0,0,0
172,95,77,76,71,94,3,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,158,77,76,71,94,32,60,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,114,87,79,72,94,7,58,0,0,11,43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
175,29,109,76,73,95,0,0,0,0,0,0,18,31,1,0,0,0,0,0,0,0,0,0,2,0,0,0
176,59,93,76,71,94,10,10,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
177,22,77,79,138,94,0,1,8,0,0,0,0,0,0,0,0,2,0,0,0,0,45,0,0,0,0,0
178,59,77,76,71,94,0,3,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
179,97,77,76,71,94,0,25,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,76,81,76,71,95,0,0,3,56,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,100
181,88,83,119,81,94,0,0,47,32,0,0,0,5,3,0,0,0,14,27,0,0,0,0,0,0,0,0
182,77,77,76,71,94,1,0,18,30,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
183,97,110,76,71,94,0,0,0,0,30,50,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,16,134,80,71,94,0,0,0,0,1,2,1,2,47,13,0,0,0,0,0,0,0,0,0,0,0,0
185,75,77,76,71,94,0,0,14,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
186,97,99,76,71,94,2,1,1,32,31,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50
187,83,93,78,73,94,0,0,0,0,25,66,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,70
188,74,77,118,83,94,0,0,0,8,56,0,0,0,0,0,0,0,9,32,0,0,0,0,0,0,0,0
189,19,77,84,120,94,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,24,15,0,0,0,0,0
190,63,77,76,71,94,0,0,47,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
191,115,77,76,71,94,0,19,71,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,14,78,96,125,97,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,31,0,7,0,0,0,0
193,76,77,76,71,94,1,45,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
194,71,83,76,71,94,0,1,6,49,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,100
195,18,102,98,71,94,0,3,2,0,0,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,30
196,60,91,79,167,94,0,0,0,3,3,58,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0,0
197,200,77,76,71,94,32,76,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,99,92,76,71,94,0,0,0,37,25,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
199,56,82,144,71,94,0,0,0,37,9,0,0,0,0,0,1,19,39,0,0,0,0,0,0,0,0,0
200,114,77,76,71,94,0,0,55,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,48,87,76,78,102,0,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,60
202,114,77,76,71,94,0,0,32,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,111,82,76,71,94,18,28,0,1,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,107,79,76,71,94,0,15,34,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,57,91,76,72,100,0,0,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,80
206,44,107,76,71,94,1,1,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,107,89,76,71,94,0,8,57,1,2,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,77,99,76,94,137,18,28,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0
209,91,82,76,71,94,0,2,5,3,57,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
210,92,99,76,74,100,0,0,25,37,0,0,45,0,0,0,0,0,0,0,0,0,0,0,2,3,0,70
211,104,91,81,71,94,0,0,0,46,16,47,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
212,63,77,76,71,94,3,2,28,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
213,40,144,76,71,94,2,5,2,0,0,0,0,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0
214,47,148,76,71,94,0,10,10,0,0,0,0,63,26,0,0,0,0,0,0,0,0,0,0,0,0,0
215,62,77,76,71,94,1,6,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
216,115,93,109,71,94,0,42,29,37,0,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,0,0
217,117,77,76,71,94,5,42,3,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,37,148,76,71,94,0,0,0,0,0,4,36,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0
219,61,77,76,71,94,37,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
220,115,77,76,71,95,31,31,0,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
221,16,147,76,71,98,0,0,0,0,0,0,0,14,61,0,0,0,0,0,0,0,0,0,0,0,2,0
222,112,83,76,71,94,0,2,48,0,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,74,80,79,71,94,25,37,1,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,100
224,108,83,76,71,94,9,37,0,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,56,91,112,73,95,14,32,0,0,0,0,0,0,0,0,15,28,0,0,0,0,0,2,0,0,0,0
226,110,77,103,99,94,0,6,25,60,12,0,0,0,0,0,0,0,0,5,35,0,0,0,0,0,0,0
227,59,77,76,101,126,0,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,0,0,0
228,140,85,76,71,94,1,2,16,64,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,15,101,99,102,125,0,0,2,0,0,0,0,0,0,14,29,0,0,0,0,0,0,11,27,0,0,0
230,80,79,77,71,94,0,4,5,56,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100
231,70,128,102,71,94,0,0,0,5,41,0,14,30,0,3,40,0,0,0,0,0,0,0,0,0,0,0
232,102,104,76,71,94,31,31,0,0,0,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,46,104,78,73,94,0,0,0,1,1,8,52,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
234,18,114,102,71,94,0,0,0,4,0,0,0,0,0,34,25,0,0,0,0,0,0,0,0,0,0,0
235,13,166,128,71,94,0,0,0,0,0,0,0,0,0,99,34,0,0,0,0,0,0,0,0,0,0,0
236,21,81,78,94,134,2,1,1,3,1,0,0,0,1,6,0,0,0,0,0,0,0,0,27,10,0,0
237,80,77,76,71,94,0,25,37,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
238,80,79,76,71,94,0,3,0,12,57,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100
239,53,152,82,71,94,0,2,1,0,22,24,0,0,58,18,0,0,0,0,0,0,0,0,0,0,0,0
240,81,94,78,71,94,2,1,0,0,39,39,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,80
241,78,82,76,71,94,0,42,5,0,21,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100
242,76,102,117,71,94,1,1,12,53,0,0,0,0,0,0,44,14,0,0,0,0,0,0,0,0,0,0
243,61,77,76,71,94,0,3,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
244,16,77,80,97,102,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,11,6,0,4,3,0,80
245,15,157,93,71,94,0,0,2,0,0,0,0,0,43,52,0,0,0,0,0,0,0,0,0,0,0,0
246,34,103,83,71,94,0,0,0,0,2,0,33,15,0,0,0,0,5,1,0,0,0,0,0,0,0,0
