,climbRate,Sgz,p,q,curPitch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime3,diffSeTime5,diffSeTime7,diffSeTime9,diffSeTime11,diffSeTime13,alpha,Se,goal
18,71.0,-53.0,0.14,0.09,0.63,-1.6,-13.0,-3.0,0.005,-0.1,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.025,-0.001
19,-208.0,-57.0,0.1,0.11,0.91,-0.9,-12.0,-7.0,-0.005,0.1,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.025,-0.0009
20,-335.0,-67.0,0.04,0.11,1.03,-0.8,-12.0,-6.0,-0.002,0.0,0.022,0.024,0.024,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.7,0.025,-0.0008
21,-146.0,-84.0,0.09,-0.12,0.74,-0.6,-12.0,15.0,0.003,-0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.001
22,478.0,-52.0,-0.14,0.04,0.18,-0.4,-11.0,2.0,-0.006,-0.2,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.023,-0.0009
23,488.0,-47.0,-0.16,0.04,0.17,-0.5,-11.0,2.0,-0.005,0.0,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,-0.001,0.0,-0.001,0.0,0.0,0.0,0.0,0.6,0.023,-0.0007
24,515.0,-34.0,-0.17,0.01,0.14,-0.8,-12.0,3.0,0.009,0.3,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.022,-0.0008
25,341.0,4.0,0.19,0.15,0.36,-0.7,-12.0,-11.0,0.006,0.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.025,-0.001
26,-253.0,8.0,-0.03,-0.03,0.88,0.1,-11.0,-6.0,-0.008,3.0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.023,-0.0009
27,-168.0,-13.0,-0.19,0.02,0.77,-0.7,-12.0,4.0,-0.002,-0.1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.022,-0.0008
28,139.0,5.0,0.24,0.09,0.5,-0.4,-11.0,-5.0,0.002,-0.1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.022,-0.0009
29,-26.0,7.0,0.03,0.02,0.6,0.6,-10.0,8.0,-0.007,-0.9,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.6,0.02,-0.001
30,-31.0,7.0,-0.06,0.14,0.68,0.5,-10.0,-11.0,-0.008,-1.0,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.023,-0.0007
31,142.0,-1.0,0.2,0.06,0.44,0.3,-11.0,6.0,0.006,-0.6,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,-0.0009
32,-323.0,-7.0,-0.22,0.09,0.9,0.7,-10.0,-3.0,-0.007,-0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.6,0.022,-0.0007
33,-344.0,-12.0,-0.28,-0.03,0.9,0.5,-11.0,3.0,-0.006,1.6,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,-0.002,-0.002,-0.001,-0.001,0.0,0.0,0.6,0.02,-0.0006
34,349.0,-16.0,0.19,0.09,0.24,0.0,-11.0,8.0,0.009,-3.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0007
35,416.0,-6.0,0.31,0.1,0.18,0.4,-11.0,4.0,0.004,-1.0,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.6,0.021,-0.0009
36,-385.0,1.0,-0.25,0.16,0.99,1.1,-10.0,-14.0,-0.01,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.023,0.0,0.0,0.0,0.0,0.0,-0.002,-0.002,0.6,0.023,-0.0008
37,-428.0,-12.0,-0.35,0.05,0.98,0.7,-10.0,-2.0,-0.003,-0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0007
38,74.0,-41.0,0.16,-0.03,0.47,-0.7,-12.0,8.0,0.009,-0.1,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0009
39,-23.0,-23.0,-0.28,0.08,0.6,-0.6,-12.0,-4.0,-0.004,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0007
40,-111.0,-36.0,0.36,-0.04,0.63,-0.5,-11.0,5.0,0.004,1.4,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0009
41,-32.0,-38.0,0.37,0.12,0.58,0.3,-11.0,3.0,-0.01,-1.0,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02,-0.0008
42,-105.0,-40.0,0.22,-0.03,0.65,0.8,-10.0,-2.0,-0.007,1.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.019,-0.001
43,-79.0,-44.0,-0.11,0.04,0.62,1.0,-10.0,-1.0,-0.014,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0009
44,-80.0,-47.0,-0.31,-0.07,0.6,0.7,-10.0,3.0,-0.011,1.7,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0007
45,280.0,-22.0,0.27,0.04,0.28,-0.5,-11.0,2.0,0.004,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0008
46,216.0,-9.0,0.24,0.1,0.37,0.4,-11.0,-8.0,-0.007,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.001
47,-120.0,-5.0,-0.24,0.14,0.69,0.6,-10.0,-11.0,-0.017,-0.1,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,-0.002,-0.001,0.0,0.0,0.0,0.0,0.6,0.021,-0.0009
48,-182.0,-6.0,-0.33,0.14,0.74,0.4,-11.0,-11.0,-0.016,0.0,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,-0.001,0.0,-0.002,0.0,-0.002,-0.001,0.0,0.6,0.021,-0.0008
49,-245.0,-12.0,-0.45,-0.03,0.74,-0.2,-11.0,6.0,-0.004,1.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.5,0.018,-0.0006
50,180.0,-15.0,-0.19,-0.11,0.3,-1.3,-12.0,20.0,0.013,-0.7,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.016,-0.0007
51,493.0,27.0,0.33,0.09,0.11,-0.7,-12.0,-8.0,0.006,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0008
52,301.0,45.0,0.32,0.13,0.29,0.3,-11.0,-11.0,-0.008,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.001
53,-220.0,44.0,-0.44,0.09,0.75,-0.1,-11.0,-5.0,-0.009,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0007
54,-241.0,33.0,-0.41,0.01,0.72,-1.4,-12.0,9.0,0.013,-0.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0006
55,51.0,26.0,0.19,-0.01,0.46,-1.8,-13.0,8.0,0.014,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0007
56,243.0,34.0,0.48,0.01,0.29,-0.8,-12.0,6.0,0.003,-0.2,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0008
57,282.0,44.0,0.47,0.06,0.28,0.3,-11.0,-4.0,-0.008,0.4,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0009
58,-77.0,59.0,-0.37,0.08,0.61,0.7,-10.0,-5.0,-0.008,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0008
59,-152.0,55.0,-0.46,0.07,0.68,-0.1,-11.0,-4.0,-0.002,0.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0007
60,-191.0,32.0,0.19,0.06,0.7,-1.6,-12.0,0.0,0.01,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0008
61,-226.0,22.0,0.28,0.08,0.74,-0.7,-12.0,-3.0,-0.004,-0.2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0009
62,-132.0,-13.0,-0.24,0.03,0.64,-0.5,-11.0,3.0,-0.005,0.0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0008
63,469.0,26.0,0.25,0.02,0.09,-0.4,-11.0,4.0,0.001,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.5,0.018,-0.0009
64,103.0,72.0,-0.31,0.09,0.45,-0.6,-11.0,-5.0,-0.005,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0007
65,-27.0,74.0,0.4,0.06,0.55,-0.8,-12.0,-2.0,0.006,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0008
66,-91.0,72.0,0.39,0.08,0.62,0.5,-10.0,-5.0,-0.008,0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0009
67,-324.0,56.0,-0.12,0.08,0.84,1.3,-10.0,-6.0,-0.012,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0008
68,-465.0,34.0,-0.33,0.08,0.96,0.5,-11.0,-5.0,-0.004,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0007
69,-534.0,11.0,-0.28,0.07,1.02,-0.5,-11.0,-2.0,0.006,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,-0.001,0.0,0.0,0.0,-0.002,0.0,0.0,0.5,0.019,-0.0006
70,-250.0,-26.0,0.28,-0.02,0.73,-0.6,-12.0,7.0,0.01,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0008
71,-103.0,-37.0,0.22,0.06,0.63,1.4,-10.0,-4.0,-0.01,0.4,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.001
72,-226.0,-44.0,-0.13,0.09,0.76,1.6,-9.0,-8.0,-0.02,0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.6,0.02,-0.0008
73,-231.0,-53.0,-0.4,0.01,0.72,0.9,-10.0,4.0,-0.004,0.3,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.5,0.018,-0.0007
74,-10.0,-61.0,-0.3,-0.06,0.5,-0.4,-11.0,10.0,0.007,0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.017,-0.0006
75,257.0,-56.0,-0.1,-0.06,0.25,-0.9,-12.0,12.0,0.01,-0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.017,-0.0007
76,517.0,-35.0,0.19,0.01,0.04,-0.7,-12.0,6.0,0.008,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.5,0.018,-0.0009
77,287.0,13.0,-0.11,0.16,0.32,0.2,-11.0,-14.0,-0.009,-0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0008
78,60.0,20.0,-0.23,0.1,0.49,-0.4,-11.0,-5.0,-0.002,-0.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0007
79,118.0,27.0,0.23,0.07,0.42,-0.7,-12.0,-2.0,0.007,-0.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0008
80,-14.0,32.0,0.18,0.08,0.55,0.4,-11.0,-5.0,-0.007,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0009
81,-200.0,26.0,-0.13,0.09,0.72,0.6,-10.0,-6.0,-0.009,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.0007
82,48.0,-12.0,0.21,0.01,0.47,0.4,-11.0,4.0,0.002,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0008
83,70.0,-11.0,0.22,0.01,0.45,0.5,-11.0,4.0,0.001,-0.1,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.5,0.018,-0.0009
84,-136.0,-11.0,-0.25,-0.01,0.64,0.6,-10.0,2.0,-0.008,1.4,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0008
85,-90.0,-16.0,-0.35,0.03,0.59,-0.3,-11.0,3.0,0.003,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0007
86,350.0,8.0,0.32,0.02,0.19,-0.2,-11.0,3.0,0.003,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.5,0.018,-0.0009
87,371.0,15.0,0.34,0.11,0.2,0.3,-11.0,-5.0,0.001,-1.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.019,-0.001
88,59.0,33.0,-0.32,0.11,0.5,0.5,-10.0,-8.0,-0.016,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,-0.0007
89,-5.0,32.0,-0.37,0.01,0.51,-0.9,-12.0,3.0,0.011,0.3,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0006
90,249.0,41.0,0.26,0.01,0.28,-1.2,-12.0,5.0,0.012,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.018,-0.0007
91,347.0,51.0,0.45,0.1,0.2,-0.5,-11.0,3.0,0.005,-0.8,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.5,0.019,-0.001
92,198.0,62.0,0.4,0.17,0.39,0.7,-10.0,-14.0,-0.017,-0.3,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.021,-0.0009
